Frame,Timestamp (ms),Active points,Bounding box centre X (px),Bounding box centre Y (px),Bounding box width (px),Bounding box height (px),Bounding box rotation (degrees),Bounding box vertex 1 X (px),Bounding box vertex 1 Y (px),Bounding box vertex 2 X (px),Bounding box vertex 2 Y (px),Bounding box vertex 3 X (px),Bounding box vertex 3 Y (px),Bounding box vertex 4 X (px),Bounding box vertex 4 Y (px)
0,40,184,223,136,46,46,0,200,159,200,113,246,113,246,159
1,120,192,224.49,135.824,45.9957,45.9957,0,201.492,158.822,201.492,112.826,247.487,112.826,247.487,158.822
2,160,192,224.619,136.005,46,46,0,201.619,159.005,201.619,113.005,247.619,113.005,247.619,159.005
3,200,200,225.294,136.107,45.9897,45.9897,0,202.299,159.102,202.299,113.112,248.288,113.112,248.288,159.102
4,240,194,224.84,136.745,46.0206,46.0206,0,201.83,159.755,201.83,113.734,247.85,113.734,247.85,159.755
5,280,197,224.453,137.423,46.0464,46.0464,0,201.43,160.446,201.43,114.399,247.477,114.399,247.477,160.446
6,320,197,224.182,137.917,46.0639,46.0639,0,201.15,160.949,201.15,114.885,247.214,114.885,247.214,160.949
7,360,204,223.634,138.541,46.0315,46.0315,0,200.619,161.557,200.619,115.525,246.65,115.525,246.65,161.557
8,400,202,223.307,139.276,45.9649,45.9649,0,200.324,162.258,200.324,116.293,246.289,116.293,246.289,162.258
9,440,202,222.963,139.496,46.0078,46.0078,0,199.959,162.5,199.959,116.492,245.967,116.492,245.967,162.5
10,480,199,222.602,140.193,46.0246,46.0246,0,199.59,163.206,199.59,117.181,245.614,117.181,245.614,163.206
11,520,200,222.089,140.837,45.9005,45.9005,0,199.139,163.788,199.139,117.887,245.039,117.887,245.039,163.788
12,560,200,221.656,141.32,45.9896,45.9896,0,198.661,164.314,198.661,118.325,244.651,118.325,244.651,164.314
13,600,194,221.117,141.905,45.991,45.991,0,198.122,164.901,198.122,118.91,244.113,118.91,244.113,164.901
14,640,203,220.648,142.259,45.953,45.953,0,197.671,165.235,197.671,119.282,243.624,119.282,243.624,165.235
15,680,202,220.405,142.653,45.9896,45.9896,0,197.411,165.648,197.411,119.658,243.4,119.658,243.4,165.648
16,720,198,219.911,143.05,45.9571,45.9571,0,196.932,166.029,196.932,120.072,242.89,120.072,242.89,166.029
17,760,205,219.441,143.633,45.9203,45.9203,0,196.48,166.593,196.48,120.673,242.401,120.673,242.401,166.593
18,800,199,219.462,143.958,45.9272,45.9272,0,196.498,166.921,196.498,120.994,242.426,120.994,242.426,166.921
19,840,200,219.075,144.618,45.9248,45.9248,0,196.112,167.581,196.112,121.656,242.037,121.656,242.037,167.581
20,880,200,218.63,145.212,45.9438,45.9438,0,195.658,168.184,195.658,122.241,241.602,122.241,241.602,168.184
21,920,206,218.413,145.447,46.0216,46.0216,0,195.402,168.458,195.402,122.437,241.424,122.437,241.424,168.458
22,960,201,218.176,145.647,46.027,46.027,0,195.163,168.661,195.163,122.634,241.19,122.634,241.19,168.661
23,1000,203,217.779,146.002,45.9893,45.9893,0,194.784,168.997,194.784,123.008,240.773,123.008,240.773,168.997
24,1040,196,217.319,146.209,46.0232,46.0232,0,194.307,169.221,194.307,123.197,240.331,123.197,240.331,169.221
25,1080,199,216.936,146.238,45.9881,45.9881,0,193.942,169.232,193.942,123.244,239.93,123.244,239.93,169.232
26,1120,197,216.513,146.408,46.0349,46.0349,0,193.495,169.426,193.495,123.391,239.53,123.391,239.53,169.426
27,1160,200,215.938,146.689,45.9353,45.9353,0,192.971,169.657,192.971,123.721,238.906,123.721,238.906,169.657
28,1200,196,215.531,146.727,45.8992,45.8992,0,192.582,169.676,192.582,123.777,238.481,123.777,238.481,169.676
29,1240,200,215.191,146.613,45.9507,45.9507,0,192.215,169.588,192.215,123.638,238.166,123.638,238.166,169.588
30,1280,200,214.785,146.12,45.8429,45.8429,0,191.864,169.042,191.864,123.199,237.706,123.199,237.706,169.042
31,1320,195,214.184,145.706,45.9005,45.9005,0,191.233,168.656,191.233,122.756,237.134,122.756,237.134,168.656
32,1360,198,213.988,145.338,45.8842,45.8842,0,191.046,168.28,191.046,122.396,236.93,122.396,236.93,168.28
33,1400,195,213.622,144.959,45.8149,45.8149,0,190.714,167.866,190.714,122.051,236.529,122.051,236.529,167.866
34,1440,192,213.205,144.475,45.9164,45.9164,0,190.247,167.433,190.247,121.517,236.163,121.517,236.163,167.433
35,1480,194,213.042,143.923,45.9475,45.9475,0,190.068,166.897,190.068,120.949,236.016,120.949,236.016,166.897
36,1520,201,212.832,143.688,45.9921,45.9921,0,189.836,166.684,189.836,120.692,235.828,120.692,235.828,166.684
37,1560,199,212.551,143.824,46.0114,46.0114,0,189.546,166.83,189.546,120.818,235.557,120.818,235.557,166.83
38,1600,200,212.254,144.075,45.8791,45.8791,0,189.314,167.015,189.314,121.136,235.193,121.136,235.193,167.015
39,1640,201,212.113,144.419,45.8936,45.8936,0,189.166,167.366,189.166,121.472,235.06,121.472,235.06,167.366
40,1680,197,212.255,144.509,45.9802,45.9802,0,189.265,167.5,189.265,121.519,235.245,121.519,235.245,167.5
41,1720,193,212.327,144.664,45.9189,45.9189,0,189.367,167.623,189.367,121.704,235.286,121.704,235.286,167.623
42,1760,197,212.359,144.7,45.9752,45.9752,0,189.371,167.688,189.371,121.713,235.346,121.713,235.346,167.688
43,1800,196,212.485,144.679,45.9959,45.9959,0,189.487,167.677,189.487,121.681,235.483,121.681,235.483,167.677
44,1840,193,212.624,144.674,46.1271,46.1271,0,189.561,167.737,189.561,121.61,235.688,121.61,235.688,167.737
45,1880,200,212.77,144.934,46.1911,46.1911,0,189.675,168.03,189.675,121.839,235.866,121.839,235.866,168.03
46,1920,194,212.575,145.272,46.0808,46.0808,0,189.535,168.312,189.535,122.232,235.615,122.232,235.615,168.312
