Frame,Timestamp (ms),Active points,Bounding box centre X (px),Bounding box centre Y (px),Bounding box width (px),Bounding box height (px),Bounding box rotation (degrees),Bounding box vertex 1 X (px),Bounding box vertex 1 Y (px),Bounding box vertex 2 X (px),Bounding box vertex 2 Y (px),Bounding box vertex 3 X (px),Bounding box vertex 3 Y (px),Bounding box vertex 4 X (px),Bounding box vertex 4 Y (px)
0,40,65,152,248.5,158,157,0,73,327,73,170,231,170,231,327
1,120,92,154.119,247.958,158.451,157.448,0,74.8938,326.682,74.8938,169.234,233.344,169.234,233.344,326.682
2,160,92,153.749,248.623,160.086,159.073,0,73.7057,328.16,73.7057,169.087,233.792,169.087,233.792,328.16
3,200,92,157.579,248.258,163.091,162.058,0,76.0341,329.287,76.0341,167.228,239.125,167.228,239.125,329.287
4,240,84,160.23,248.534,163.206,162.173,0,78.6275,329.621,78.6275,167.448,241.833,167.448,241.833,329.621
5,280,86,163.789,249.661,163.194,162.161,0,82.1924,330.741,82.1924,168.58,245.386,168.58,245.386,330.741
6,320,94,166.603,250.953,164.465,163.424,0,84.3704,332.665,84.3704,169.24,248.836,169.24,248.836,332.665
7,360,85,168.772,253.667,166.515,165.461,0,85.5144,336.398,85.5144,170.937,252.029,170.937,252.029,336.398
8,400,87,171.179,257.369,168.007,166.944,0,87.1757,340.841,87.1757,173.898,255.183,173.898,255.183,340.841
9,440,84,174.101,259.762,168.994,167.925,0,89.6035,343.725,89.6035,175.8,258.598,175.8,258.598,343.725
10,480,88,177.126,263.193,170.986,169.904,0,91.6332,348.145,91.6332,178.241,262.62,178.241,262.62,348.145
11,520,89,179.512,268.049,176.227,175.111,0,91.3987,355.605,91.3987,180.494,267.625,180.494,267.625,355.605
12,560,92,183.059,269.518,177.453,176.33,0,94.3327,357.683,94.3327,181.353,271.785,181.353,271.785,357.683
13,600,91,186.852,268.972,177.748,176.623,0,97.9786,357.283,97.9786,180.66,275.726,180.66,275.726,357.283
14,640,92,192.023,270.262,178.306,177.177,0,102.871,358.85,102.871,181.673,281.176,181.673,281.176,358.85
15,680,85,197.577,270.957,178.855,177.723,0,108.15,359.819,108.15,182.096,287.005,182.096,287.005,359.819
16,720,86,200.551,272.106,185.044,183.873,0,108.029,364.043,108.029,180.17,293.073,180.17,293.073,364.043
17,760,85,204.822,271.953,188.644,187.45,0,110.501,365.678,110.501,178.229,299.144,178.229,299.144,365.678
18,800,79,209.226,273.667,197.265,196.017,0,110.594,371.675,110.594,175.658,307.859,175.658,307.859,371.675
19,840,85,212.104,276.205,209.434,208.108,0,107.388,380.259,107.388,172.151,316.821,172.151,316.821,380.259
20,880,75,226.626,274.228,210.955,209.62,0,121.148,379.038,121.148,169.418,332.103,169.418,332.103,379.038
21,920,75,243.27,263.77,184.413,183.246,0,151.063,355.393,151.063,172.148,335.476,172.148,335.476,355.393
22,960,74,250.478,264.32,189.641,188.441,0,155.657,358.541,155.657,170.1,345.299,170.1,345.299,358.541
23,1000,76,259.343,261.593,187.56,186.372,0,165.563,354.78,165.563,168.407,353.122,168.407,353.122,354.78
24,1040,76,269.253,261.534,191.173,189.963,0,173.666,356.515,173.666,166.552,364.839,166.552,364.839,356.515
25,1080,72,279.494,258.872,187.414,186.228,0,185.787,351.986,185.787,165.759,373.201,165.759,373.201,351.986
26,1120,72,288.273,255.992,183.998,182.833,0,196.274,347.409,196.274,164.576,380.272,164.576,380.272,347.409
27,1160,69,296.682,252.756,182.028,180.876,0,205.668,343.193,205.668,162.318,387.696,162.318,387.696,343.193
28,1200,70,304.512,251.357,183.872,182.708,0,212.576,342.711,212.576,160.003,396.448,160.003,396.448,342.711
29,1240,70,311.937,248.673,181.574,180.425,0,221.15,338.886,221.15,158.461,402.724,158.461,402.724,338.886
30,1280,68,319.374,246.299,180.794,179.65,0,228.977,336.124,228.977,156.474,409.771,156.474,409.771,336.124
31,1320,69,325.059,244.414,181.433,180.285,0,234.342,334.556,234.342,154.271,415.775,154.271,415.775,334.556
32,1360,69,329.611,242.444,183.617,182.455,0,237.803,333.672,237.803,151.217,421.419,151.217,421.419,333.672
33,1400,74,332.756,241.383,190.908,189.7,0,237.302,336.233,237.302,146.533,428.21,146.533,428.21,336.233
34,1440,70,339.529,235.482,185.068,183.897,0,246.995,327.43,246.995,143.533,432.063,143.533,432.063,327.43
35,1480,66,341.953,233.193,188.545,187.351,0,247.681,326.869,247.681,139.518,436.226,139.518,436.226,326.869
36,1520,58,348.795,225.16,184.759,183.59,0,256.415,316.955,256.415,133.365,441.174,133.365,441.174,316.955
37,1560,58,357.358,215.249,167.923,166.86,0,273.397,298.679,273.397,131.819,441.32,131.819,441.32,298.679
38,1600,56,357.218,214.216,175.244,174.135,0,269.596,301.283,269.596,127.149,444.84,127.149,444.84,301.283
39,1640,58,360.533,209.832,170.402,169.323,0,275.332,294.494,275.332,125.17,445.733,125.17,445.733,294.494
40,1680,58,359.626,208.908,176.481,175.364,0,271.385,296.59,271.385,121.226,447.866,121.226,447.866,296.59
41,1720,56,361.481,206.527,173.821,172.721,0,274.571,292.888,274.571,120.167,448.392,120.167,448.392,292.888
42,1760,56,364.702,202.764,165.759,164.71,0,281.823,285.12,281.823,120.409,447.582,120.409,447.582,285.12
43,1800,57,364.062,202.024,167.333,166.274,0,280.395,285.161,280.395,118.887,447.728,118.887,447.728,285.161
44,1840,56,362.571,203.04,170.206,169.129,0,277.468,287.605,277.468,118.476,447.674,118.476,447.674,287.605
45,1880,59,363.594,202.116,165.506,164.459,0,280.841,284.345,280.841,119.886,446.347,119.886,446.347,284.345
46,1920,57,364.845,200.05,160.632,159.615,0,284.529,279.858,284.529,120.242,445.161,120.242,445.161,279.858
47,1960,59,366.007,198.452,156.541,155.55,0,287.737,276.227,287.737,120.677,444.277,120.677,444.277,276.227
48,2000,56,366.876,197.998,152.374,151.409,0,290.689,273.703,290.689,122.294,443.063,122.294,443.063,273.703
49,2040,58,368.092,198.558,150.905,149.95,0,292.639,273.534,292.639,123.583,443.545,123.583,443.545,273.534
50,2080,58,369.52,197.886,149.181,148.237,0,294.929,272.004,294.929,123.767,444.11,123.767,444.11,272.004
51,2120,56,371.875,195.093,142.741,141.838,0,300.505,266.012,300.505,124.174,443.246,124.174,443.246,266.012
52,2160,57,370.7,196.828,148.78,147.838,0,296.31,270.747,296.31,122.909,445.09,122.909,445.09,270.747
53,2200,57,375.789,190.718,136.921,136.055,0,307.329,258.745,307.329,122.691,444.25,122.691,444.25,258.745
54,2240,56,377.14,189.034,136.45,135.587,0,308.915,256.827,308.915,121.241,445.365,121.241,445.365,256.827
55,2280,57,376.642,190.473,144.591,143.675,0,304.347,262.31,304.347,118.635,448.938,118.635,448.938,262.31
56,2320,56,379.308,188.861,144.533,143.619,0,307.042,260.67,307.042,117.052,451.575,117.052,451.575,260.67
57,2360,58,382.856,188.987,144.855,143.938,0,310.429,260.956,310.429,117.018,455.284,117.018,455.284,260.956
58,2400,56,387.407,190.017,146.48,145.553,0,314.167,262.794,314.167,117.241,460.648,117.241,460.648,262.794
59,2440,58,392.534,188.481,144.152,143.239,0,320.458,260.1,320.458,116.861,464.61,116.861,464.61,260.1
60,2480,57,397.658,187.988,146.105,145.18,0,324.606,260.578,324.606,115.398,470.711,115.398,470.711,260.578
61,2520,55,404.967,185.456,140.991,140.098,0,334.471,255.505,334.471,115.407,475.462,115.407,475.462,255.505
62,2560,55,413.586,183.32,136.155,135.293,0,345.508,250.967,345.508,115.674,481.663,115.674,481.663,250.967
63,2600,58,419.452,185.607,142.578,141.676,0,348.163,256.445,348.163,114.769,490.741,114.769,490.741,256.445
64,2640,58,425.686,188.222,150.323,149.372,0,350.524,262.908,350.524,113.536,500.848,113.536,500.848,262.908
65,2680,52,437.749,185.177,141.704,140.807,0,366.897,255.581,366.897,114.773,508.601,114.773,508.601,255.581
66,2720,52,446.275,186.142,145.196,144.277,0,373.677,258.28,373.677,114.004,518.872,114.004,518.872,258.28
67,2760,55,454.811,187.014,149.708,148.76,0,379.957,261.394,379.957,112.634,529.664,112.634,529.664,261.394
68,2800,59,465.48,186.758,150.83,149.875,0,390.065,261.696,390.065,111.821,540.895,111.821,540.895,261.696
69,2840,56,475.209,187.648,155.693,154.708,0,397.363,265.002,397.363,110.294,553.056,110.294,553.056,265.002
70,2880,52,488.281,183.019,147.5,146.567,0,414.53,256.303,414.53,109.736,562.031,109.736,562.031,256.303
71,2920,54,496.952,184.901,151.765,150.805,0,421.07,260.303,421.07,109.499,572.835,109.499,572.835,260.303
72,2960,55,502.923,188.831,161.392,160.371,0,422.227,269.017,422.227,108.646,583.619,108.646,583.619,269.017
73,3000,53,513.483,187.879,156.66,155.669,0,435.153,265.714,435.153,110.045,591.814,110.045,591.814,265.714
74,3040,55,519.276,190.501,163.041,162.009,0,437.756,271.506,437.756,109.497,600.797,109.497,600.797,271.506
75,3080,59,529.485,188.758,155.197,154.214,0,451.886,265.866,451.886,111.651,607.083,111.651,607.083,265.866
76,3120,56,534.334,190.844,160.47,159.455,0,454.099,270.571,454.099,111.117,614.569,111.117,614.569,270.571
77,3160,57,536.708,193.488,167.035,165.978,0,453.191,276.477,453.191,110.499,620.226,110.499,620.226,276.477
78,3200,58,542.618,193.312,162.065,161.039,0,461.585,273.832,461.585,112.793,623.65,112.793,623.65,273.832
79,3240,56,544.292,196.808,166.044,164.993,0,461.27,279.304,461.27,114.311,627.314,114.311,627.314,279.304
80,3280,58,549.924,195.962,155.165,154.183,0,472.342,273.054,472.342,118.871,627.507,118.871,627.507,273.054
81,3320,58,552.758,195.506,150,149.05,0,477.758,270.031,477.758,120.98,627.757,120.98,627.757,270.031
82,3360,60,552.211,197.49,152.25,151.286,0,476.086,273.133,476.086,121.847,628.336,121.847,628.336,273.133
83,3400,59,550.778,201.04,155.25,154.267,0,473.153,278.174,473.153,123.907,628.403,123.907,628.403,278.174
84,3440,58,549.255,202.345,156.037,155.049,0,471.236,279.869,471.236,124.82,627.273,124.82,627.273,279.869
85,3480,59,548.795,201.484,152.344,151.38,0,472.623,277.174,472.623,125.794,624.967,125.794,624.967,277.174
86,3520,61,546.342,203.374,153.748,152.775,0,469.467,279.761,469.467,126.986,623.216,126.986,623.216,279.761
87,3560,58,544.365,205.52,153.518,152.547,0,467.606,281.794,467.606,129.247,621.124,129.247,621.124,281.794
88,3600,58,542.018,205.578,152.667,151.701,0,465.684,281.428,465.684,129.727,618.352,129.727,618.352,281.428
89,3640,57,540.308,203.976,150.447,149.494,0,465.085,278.724,465.085,129.229,615.532,129.229,615.532,278.724
90,3680,59,538.108,203.25,149.651,148.704,0,463.283,277.602,463.283,128.898,612.934,128.898,612.934,277.602
91,3720,57,535.33,204.538,152.607,151.641,0,459.027,280.358,459.027,128.718,611.634,128.718,611.634,280.358
92,3760,59,534.117,203.015,148.945,148.002,0,459.645,277.016,459.645,129.014,608.59,129.014,608.59,277.016
93,3800,62,532.006,203.235,149.109,148.165,0,457.451,277.318,457.451,129.152,606.56,129.152,606.56,277.318
94,3840,61,530.224,204.025,151.363,150.405,0,454.543,279.227,454.543,128.822,605.906,128.822,605.906,279.227
95,3880,62,530.466,203.062,149.601,148.654,0,455.665,277.389,455.665,128.735,605.266,128.735,605.266,277.389
96,3920,59,530.11,203.87,152.136,151.173,0,454.042,279.456,454.042,128.284,606.178,128.284,606.178,279.456
97,3960,61,530.741,205.176,153.84,152.867,0,453.821,281.61,453.821,128.743,607.662,128.743,607.662,281.61
98,4000,57,533.524,204.545,149.897,148.948,0,458.576,279.019,458.576,130.071,608.472,130.071,608.472,279.019
99,4040,58,534.799,205.506,151.948,150.986,0,458.825,281,458.825,130.013,610.773,130.013,610.773,281
100,4080,59,535.504,207.004,156.989,155.995,0,457.01,285.001,457.01,129.006,613.998,129.006,613.998,285.001
101,4120,58,539.52,205.425,153.468,152.497,0,462.786,281.673,462.786,129.176,616.255,129.176,616.255,281.673
102,4160,58,541.006,208.251,157.821,156.822,0,462.096,286.662,462.096,129.84,619.917,129.84,619.917,286.662
103,4200,59,543.583,210.218,159.883,158.871,0,463.642,289.654,463.642,130.783,623.525,130.783,623.525,289.654
104,4240,58,546.487,211.674,162.188,161.161,0,465.393,292.255,465.393,131.093,627.581,131.093,627.581,292.255
105,4280,57,548.203,213.675,166.493,165.439,0,464.957,296.394,464.957,130.955,631.45,130.955,631.45,296.394
106,4320,56,548.989,218.544,174.38,173.276,0,461.8,305.182,461.8,131.906,636.179,131.906,636.179,305.182
107,4360,55,554.596,217.433,167.172,166.114,0,471.01,300.49,471.01,134.375,638.183,134.375,638.183,300.49
108,4400,54,556.547,219.099,168.386,167.32,0,472.354,302.759,472.354,135.439,640.74,135.439,640.74,302.759
109,4440,54,557.516,222.736,171.163,170.08,0,471.935,307.776,471.935,137.696,643.098,137.696,643.098,307.776
110,4480,54,555.536,229.165,181.32,180.172,0,464.876,319.251,464.876,139.079,646.196,139.079,646.196,319.251
111,4520,55,557.233,230.97,179.965,178.826,0,467.251,320.383,467.251,141.557,647.215,141.557,647.215,320.383
112,4560,53,558.493,232.328,178.983,177.85,0,469.002,321.253,469.002,143.403,647.985,143.403,647.985,321.253
113,4600,53,557.711,234.931,182.805,181.648,0,466.308,325.755,466.308,144.107,649.114,144.107,649.114,325.755
114,4640,53,559.19,234.276,179.094,177.96,0,469.643,323.256,469.643,145.296,648.737,145.296,648.737,323.256
115,4680,50,557.417,236.098,178.683,177.552,0,468.076,324.874,468.076,147.322,646.758,147.322,646.758,324.874
116,4720,50,548.704,246.289,202.803,201.52,0,447.302,347.049,447.302,145.53,650.105,145.53,650.105,347.049
117,4760,50,550.664,244.181,194.33,193.1,0,453.499,340.731,453.499,147.631,647.829,147.631,647.829,340.731
118,4800,50,550.059,244.441,194.033,192.805,0,453.042,340.844,453.042,148.038,647.076,148.038,647.076,340.844
119,4840,50,549.231,245.628,193.976,192.748,0,452.243,342.002,452.243,149.254,646.219,149.254,646.219,342.002
120,4880,50,548.34,247.033,193.045,191.823,0,451.818,342.944,451.818,151.121,644.863,151.121,644.863,342.944
121,4920,50,549.104,244.751,187.627,186.439,0,455.29,337.97,455.29,151.531,642.917,151.531,642.917,337.97
122,4960,50,541.985,249.455,205.985,204.681,0,438.992,351.796,438.992,147.115,644.977,147.115,644.977,351.796
123,5000,50,543.451,246.492,200.774,199.504,0,443.063,346.244,443.063,146.74,643.838,146.74,643.838,346.244
124,5040,52,540.721,247.856,207.951,206.634,0,436.745,351.173,436.745,144.538,644.696,144.538,644.696,351.173
125,5080,51,547.214,239.91,189.111,187.914,0,452.659,333.867,452.659,145.953,641.77,145.953,641.77,333.867
126,5120,51,545,239.921,194.177,192.948,0,447.912,336.395,447.912,143.447,642.089,143.447,642.089,336.395
127,5160,51,542.017,241.533,204.199,202.907,0,439.917,342.986,439.917,140.079,644.116,140.079,644.116,342.986
128,5200,51,546.243,236.719,196.274,195.032,0,448.106,334.235,448.106,139.203,644.38,139.203,644.38,334.235
129,5240,52,548.908,233.176,192.188,190.972,0,452.814,328.662,452.814,137.69,645.002,137.69,645.002,328.662
130,5280,53,550.376,231.716,192.238,191.022,0,454.257,327.227,454.257,136.205,646.495,136.205,646.495,327.227
131,5320,53,550.014,231.588,196.758,195.512,0,451.635,329.344,451.635,133.831,648.393,133.831,648.393,329.344
132,5360,53,547.979,234.605,208.456,207.137,0,443.751,338.173,443.751,131.036,652.207,131.036,652.207,338.173
133,5400,52,549.975,234.51,210.044,208.715,0,444.953,338.867,444.953,130.152,654.997,130.152,654.997,338.867
134,5440,52,552.211,234.553,209.536,208.209,0,447.444,338.657,447.444,130.448,656.979,130.448,656.979,338.657
135,5480,46,549.311,239.804,226.208,224.776,0,436.207,352.192,436.207,127.416,662.415,127.416,662.415,352.192
136,5520,42,551.079,238.774,224.041,222.623,0,439.058,350.086,439.058,127.463,663.099,127.463,663.099,350.086
137,5560,39,551.616,239.66,225.975,224.545,0,438.629,351.932,438.629,127.387,664.603,127.387,664.603,351.932
138,5600,38,550.334,243.148,236.667,235.169,0,432,360.732,432,125.563,668.667,125.563,668.667,360.732
139,5640,38,554.77,239,227.005,225.568,0,441.267,351.784,441.267,126.216,668.272,126.216,668.272,351.784
140,5680,38,551.244,245.005,244.342,242.795,0,429.073,366.403,429.073,123.607,673.415,123.607,673.415,366.403
141,5720,38,557.699,237.033,222.545,221.137,0,446.427,347.601,446.427,126.464,668.972,126.464,668.972,347.601
142,5760,38,555.414,240.846,232.031,230.562,0,439.399,356.127,439.399,125.565,671.429,125.565,671.429,356.127
143,5800,38,559.564,235.645,215.156,213.794,0,451.986,342.542,451.986,128.748,667.142,128.748,667.142,342.542
144,5840,38,552.68,245.309,235.854,234.362,0,434.753,362.49,434.753,128.129,670.608,128.129,670.608,362.49
145,5880,38,552.099,245.608,230.623,229.163,0,436.788,360.189,436.788,131.026,667.411,131.026,667.411,360.189
146,5920,38,546.986,250.846,240,238.481,0,426.986,370.086,426.986,131.605,666.986,131.605,666.986,370.086
147,5960,24,554.688,263.74,264.807,263.131,0,422.285,395.306,422.285,132.175,687.091,132.175,687.091,395.306
148,6000,20,515.118,322.909,419.763,417.106,0,305.237,531.462,305.237,114.356,725,114.356,725,531.462
149,6040,21,511.396,323.355,415.016,412.389,0,303.888,529.549,303.888,117.16,718.904,117.16,718.904,529.549
150,6080,21,492.695,347.79,477.6,474.577,0,253.895,585.079,253.895,110.502,731.495,110.502,731.495,585.079
151,6120,21,486.158,351.464,484.037,480.974,0,244.139,591.951,244.139,110.977,728.176,110.977,728.176,591.951
152,6160,19,494.506,328.94,415.361,412.732,0,286.826,535.306,286.826,122.574,702.187,122.574,702.187,535.306
153,6200,18,494.233,315.804,375.372,372.996,0,306.547,502.302,306.547,129.306,681.918,129.306,681.918,502.302
154,6240,18,506.286,283.084,288.448,286.623,0,362.061,426.395,362.061,139.772,650.51,139.772,650.51,426.395
155,6280,18,495.703,289.794,308.688,306.735,0,341.358,443.161,341.358,136.427,650.047,136.427,650.047,443.161
156,6320,21,490.365,285.268,301.901,299.991,0,339.414,435.263,339.414,135.272,641.315,135.272,641.315,435.263
157,6360,20,462.767,319.237,398.193,395.672,0,263.67,517.073,263.67,121.401,661.863,121.401,661.863,517.073
158,6400,17,489.853,261.765,243.041,241.503,0,368.333,382.516,368.333,141.013,611.374,141.013,611.374,382.516
159,6440,17,463.939,290.159,328.883,326.801,0,299.497,453.559,299.497,126.758,628.38,126.758,628.38,453.559
160,6480,18,436.864,320.926,425.485,422.792,0,224.121,532.322,224.121,109.53,649.606,109.53,649.606,532.322
161,6520,20,460.708,272.198,297.502,295.619,0,311.957,420.007,311.957,124.388,609.459,124.388,609.459,420.007
162,6560,23,397.353,367.753,563.493,559.927,0,115.606,647.716,115.606,87.7895,679.099,87.7894,679.099,647.716
163,6600,27,468.711,244.611,227.895,226.453,0,354.763,357.837,354.763,131.384,582.659,131.384,582.659,357.837
164,6640,32,465.411,240.083,221.751,220.347,0,354.535,350.257,354.535,129.91,576.286,129.91,576.286,350.257
165,6680,31,471.179,226.108,181.794,180.644,0,380.282,316.43,380.282,135.786,562.076,135.786,562.076,316.43
166,6720,30,468.066,225.925,182.908,181.751,0,376.612,316.8,376.612,135.05,559.521,135.05,559.521,316.8
167,6760,26,465.686,224.675,179.974,178.835,0,375.699,314.093,375.699,135.257,555.673,135.257,555.673,314.093
168,6800,28,465.214,221.49,175.464,174.354,0,377.482,308.667,377.482,134.313,552.946,134.313,552.946,308.667
