Frame,Timestamp (ms),Active points,Bounding box centre X (px),Bounding box centre Y (px),Bounding box width (px),Bounding box height (px),Bounding box rotation (degrees),Bounding box vertex 1 X (px),Bounding box vertex 1 Y (px),Bounding box vertex 2 X (px),Bounding box vertex 2 Y (px),Bounding box vertex 3 X (px),Bounding box vertex 3 Y (px),Bounding box vertex 4 X (px),Bounding box vertex 4 Y (px)
0,40,79,519,203.5,88,107,0,475,257,475,150,563,150,563,257
1,120,139,517.34,201.659,88.0392,107.048,0,473.321,255.183,473.321,148.135,561.36,148.135,561.36,255.183
2,160,139,517.942,201.914,88.5282,107.642,0,473.677,255.735,473.677,148.093,562.206,148.093,562.206,255.735
3,200,145,514.967,196.676,89.0352,108.259,0,470.45,250.806,470.45,142.547,559.485,142.547,559.485,250.806
4,240,129,512.984,194.738,89.3887,108.689,0,468.29,249.082,468.29,140.394,557.678,140.394,557.678,249.082
5,280,134,511.025,192.162,89.8677,109.271,0,466.091,246.797,466.091,137.526,555.959,137.526,555.959,246.797
6,320,128,509.205,190.401,89.7418,109.118,0,464.334,244.96,464.334,135.842,554.076,135.842,554.076,244.96
7,360,113,507.619,188.806,90.4528,109.982,0,462.393,243.798,462.393,133.815,552.846,133.815,552.846,243.798
8,400,112,505.896,187.644,90.4368,109.963,0,460.678,242.625,460.678,132.662,551.115,132.662,551.115,242.625
9,440,113,505.433,186.008,90.9372,110.571,0,459.965,241.293,459.965,130.722,550.902,130.722,550.902,241.293
10,480,123,505.255,184.928,91.2661,110.971,0,459.622,240.413,459.622,129.442,550.888,129.442,550.888,240.413
11,520,122,504.809,183.941,91.9197,111.766,0,458.85,239.824,458.85,128.058,550.769,128.058,550.769,239.824
12,560,122,503.734,183.558,92.5853,112.575,0,457.441,239.846,457.441,127.271,550.027,127.271,550.027,239.846
13,600,126,502.325,183.486,92.4024,112.353,0,456.124,239.663,456.124,127.31,548.527,127.31,548.527,239.663
14,640,120,501.797,182.408,93.0154,113.098,0,455.289,238.957,455.289,125.859,548.305,125.859,548.305,238.957
15,680,116,501.464,180.986,93.8661,114.133,0,454.531,238.052,454.531,123.92,548.397,123.92,548.397,238.052
16,720,120,500.334,180.96,94.1427,114.469,0,453.262,238.195,453.262,123.726,547.405,123.726,547.405,238.195
17,760,111,498.884,181.622,94.2695,114.623,0,451.749,238.933,451.749,124.31,546.018,124.31,546.018,238.933
18,800,109,496.851,182.477,93.9449,114.229,0,449.878,239.592,449.878,125.363,543.823,125.363,543.823,239.592
19,840,107,495.988,183.022,94.8367,115.313,0,448.57,240.679,448.57,125.366,543.407,125.366,543.407,240.679
20,880,117,494.26,183.708,95.2149,115.773,0,446.652,241.594,446.652,125.821,541.867,125.821,541.867,241.594
21,920,112,492.501,184.088,96.2688,117.054,0,444.366,242.615,444.366,125.561,540.635,125.561,540.635,242.615
22,960,112,489.839,185.257,96.7312,117.616,0,441.473,244.065,441.473,126.449,538.204,126.449,538.204,244.065
