Frame,Timestamp (ms),Active points,Bounding box centre X (px),Bounding box centre Y (px),Bounding box width (px),Bounding box height (px),Bounding box rotation (degrees),Bounding box vertex 1 X (px),Bounding box vertex 1 Y (px),Bounding box vertex 2 X (px),Bounding box vertex 2 Y (px),Bounding box vertex 3 X (px),Bounding box vertex 3 Y (px),Bounding box vertex 4 X (px),Bounding box vertex 4 Y (px)
0,40,115,156.5,103.5,35,33,0,139,120,139,87,174,87,174,120
1,120,133,156.639,103.708,35.0381,33.0359,0,139.12,120.226,139.12,87.19,174.158,87.19,174.158,120.226
2,160,133,156.858,104.046,35,33,0,139.358,120.546,139.358,87.546,174.358,87.546,174.358,120.546
3,200,136,156.888,104.714,34.9932,32.9936,0,139.391,121.211,139.391,88.217,174.384,88.217,174.384,121.211
4,240,131,156.814,105.065,35.0364,33.0343,0,139.296,121.582,139.296,88.5482,174.333,88.5482,174.333,121.582
5,280,137,156.653,105.32,35.0207,33.0195,0,139.142,121.83,139.142,88.8103,174.163,88.8103,174.163,121.83
6,320,135,156.736,105.356,35.0108,33.0102,0,139.231,121.861,139.231,88.8506,174.241,88.8506,174.241,121.861
7,360,133,156.657,105.259,35.0181,33.0171,0,139.148,121.768,139.148,88.7505,174.166,88.7505,174.166,121.768
8,400,133,156.758,105.322,35.0297,33.028,0,139.244,121.836,139.244,88.8075,174.273,88.8075,174.273,121.836
9,440,135,156.803,105.446,35.0489,33.0462,0,139.279,121.969,139.279,88.9231,174.328,88.9231,174.328,121.969
10,480,132,156.901,105.47,35.0087,33.0082,0,139.397,121.974,139.397,88.9657,174.406,88.9657,174.406,121.974
11,520,133,157.059,105.473,35.0636,33.06,0,139.527,122.003,139.527,88.9432,174.591,88.9432,174.591,122.003
12,560,132,157.002,105.542,35.0393,33.037,0,139.483,122.061,139.483,89.0239,174.522,89.0239,174.522,122.061
13,600,138,157.013,105.449,35.0595,33.0561,0,139.484,121.977,139.484,88.9208,174.543,88.9208,174.543,121.977
14,640,139,156.93,105.653,35.1303,33.1228,0,139.365,122.214,139.365,89.0914,174.495,89.0914,174.495,122.214
15,680,132,156.867,105.546,35.0978,33.0922,0,139.318,122.092,139.318,89.0001,174.416,89.0001,174.416,122.092
16,720,138,156.885,105.579,35.0205,33.0193,0,139.375,122.088,139.375,89.0689,174.395,89.0689,174.395,122.088
17,760,135,156.984,105.477,35.0565,33.0533,0,139.456,122.004,139.456,88.9506,174.512,88.9506,174.512,122.004
18,800,132,157.036,105.38,35.078,33.0735,0,139.497,121.916,139.497,88.8429,174.575,88.8429,174.575,121.916
19,840,138,156.985,105.386,35.1153,33.1087,0,139.427,121.94,139.427,88.8312,174.542,88.8312,174.542,121.94
20,880,137,157.048,105.244,35.1244,33.1173,0,139.485,121.802,139.485,88.6851,174.61,88.6851,174.61,121.802
21,920,136,157.383,105.227,35.1905,33.1796,0,139.788,121.817,139.788,88.6377,174.978,88.6377,174.978,121.817
22,960,138,157.616,105.253,35.0537,33.0506,0,140.089,121.778,140.089,88.7274,175.143,88.7274,175.143,121.778
23,1000,136,157.694,105.3,35.1159,33.1093,0,140.136,121.855,140.136,88.7457,175.252,88.7457,175.252,121.855
24,1040,134,157.713,105.237,35.1113,33.1049,0,140.157,121.789,140.157,88.6842,175.269,88.6842,175.269,121.789
25,1080,131,157.734,105.303,35.0339,33.032,0,140.217,121.819,140.217,88.7868,175.251,88.7868,175.251,121.819
26,1120,131,157.8,105.25,35.0266,33.0251,0,140.286,121.763,140.286,88.7375,175.313,88.7375,175.313,121.763
27,1160,132,157.763,105.156,35.075,33.0707,0,140.226,121.691,140.226,88.6203,175.301,88.6203,175.301,121.691
28,1200,135,157.766,105.146,35.0277,33.0261,0,140.252,121.659,140.252,88.6329,175.279,88.6329,175.279,121.659
29,1240,133,157.772,105.053,35.0061,33.0057,0,140.269,121.556,140.269,88.5499,175.275,88.5499,175.275,121.556
30,1280,136,157.85,105.008,35.0549,33.0518,0,140.323,121.534,140.323,88.4825,175.378,88.4825,175.378,121.534
31,1320,136,157.842,105.005,35.027,33.0254,0,140.328,121.518,140.328,88.4924,175.355,88.4924,175.355,121.518
32,1360,137,157.89,104.836,35.139,33.131,0,140.32,121.402,140.32,88.271,175.459,88.271,175.459,121.402
33,1400,141,158.104,104.91,35.1088,33.1025,0,140.55,121.461,140.55,88.3582,175.659,88.3582,175.659,121.461
34,1440,139,158.196,105.03,35.0671,33.0633,0,140.663,121.562,140.663,88.4983,175.73,88.4983,175.73,121.562
35,1480,137,158.312,105.031,35.2561,33.2414,0,140.684,121.652,140.684,88.4103,175.94,88.4103,175.94,121.652
36,1520,137,158.558,105.353,35.1242,33.1171,0,140.996,121.911,140.996,88.7942,176.12,88.7942,176.12,121.911
37,1560,134,158.721,105.462,35.0542,33.0511,0,141.194,121.987,141.194,88.9362,176.248,88.9362,176.248,121.987
38,1600,132,159.068,105.622,35.0181,33.017,0,141.559,122.131,141.559,89.1136,176.577,89.1136,176.577,122.131
39,1640,128,159.223,105.631,35.1408,33.1327,0,141.652,122.197,141.652,89.0643,176.793,89.0643,176.793,122.197
40,1680,132,159.404,105.747,35.0647,33.061,0,141.872,122.277,141.872,89.2161,176.936,89.2161,176.936,122.277
41,1720,142,159.476,105.635,35.2663,33.2511,0,141.843,122.26,141.843,89.0093,177.109,89.0093,177.109,122.26
42,1760,135,160.023,105.56,35.2167,33.2043,0,142.415,122.162,142.415,88.9575,177.632,88.9575,177.632,122.162
43,1800,128,160.093,105.516,35.2162,33.2039,0,142.485,122.118,142.485,88.9142,177.701,88.9142,177.701,122.118
44,1840,127,160.146,105.543,35.3795,33.3578,0,142.456,122.222,142.456,88.8641,177.836,88.8641,177.836,122.222
45,1880,130,160.208,105.591,35.2709,33.2554,0,142.573,122.219,142.573,88.9635,177.843,88.9635,177.843,122.219
46,1920,131,160.166,105.475,35.3918,33.3694,0,142.47,122.16,142.47,88.7907,177.862,88.7907,177.862,122.16
