Frame,Timestamp (ms),Active points,Bounding box centre X (px),Bounding box centre Y (px),Bounding box width (px),Bounding box height (px),Bounding box rotation (degrees),Bounding box vertex 1 X (px),Bounding box vertex 1 Y (px),Bounding box vertex 2 X (px),Bounding box vertex 2 Y (px),Bounding box vertex 3 X (px),Bounding box vertex 3 Y (px),Bounding box vertex 4 X (px),Bounding box vertex 4 Y (px)
0,40,243,165.5,150,53,74,0,139,187,139,113,192,113,192,187
1,120,280,165.407,151.957,53.0127,74.0177,0,138.901,188.966,138.901,114.948,191.914,114.948,191.914,188.966
2,160,280,165.622,152.001,53,74,0,139.122,189.001,139.122,115.001,192.122,115.001,192.122,189.001
3,200,287,165.87,155.122,53.046,74.0642,0,139.347,192.154,139.347,118.09,192.393,118.09,192.393,192.154
4,240,286,165.686,156.415,52.9212,73.8899,0,139.225,193.36,139.225,119.47,192.146,119.47,192.146,193.36
5,280,292,165.506,157.108,52.9827,73.9759,0,139.014,194.096,139.014,120.12,191.997,120.12,191.997,194.096
6,320,283,165.176,157.767,52.9247,73.8949,0,138.713,194.715,138.713,120.82,191.638,120.82,191.638,194.715
7,360,292,164.987,157.952,53.0444,74.062,0,138.465,194.984,138.465,120.921,191.509,120.921,191.509,194.984
8,400,292,164.877,157.911,53.0496,74.0693,0,138.352,194.945,138.352,120.876,191.402,120.876,191.402,194.945
9,440,292,164.877,157.911,53.0496,74.0693,0,138.352,194.945,138.352,120.876,191.402,120.876,191.402,194.945
10,480,292,164.877,157.911,53.0496,74.0693,0,138.352,194.945,138.352,120.876,191.402,120.876,191.402,194.945
11,520,292,164.877,157.911,53.0496,74.0693,0,138.352,194.945,138.352,120.876,191.402,120.876,191.402,194.945
12,560,289,163.241,157.742,53.1598,74.2231,0,136.661,194.854,136.661,120.631,189.821,120.631,189.821,194.854
13,600,280,163.017,157.718,53.1559,74.2177,0,136.439,194.827,136.439,120.609,189.595,120.609,189.595,194.827
14,640,281,162.739,157.538,53.1771,74.2473,0,136.151,194.661,136.151,120.414,189.328,120.414,189.328,194.661
15,680,281,162.538,157.198,53.097,74.1354,0,135.989,194.266,135.989,120.131,189.086,120.131,189.086,194.266
16,720,285,162.566,156.706,53.2824,74.3942,0,135.924,193.903,135.924,119.508,189.207,119.508,189.207,193.903
17,760,285,162.513,156.144,53.3246,74.4532,0,135.851,193.371,135.851,118.918,189.176,118.918,189.176,193.371
18,800,283,162.397,155.634,53.3794,74.5297,0,135.707,192.899,135.707,118.369,189.087,118.369,189.087,192.899
19,840,278,162.273,155.059,53.3526,74.4923,0,135.596,192.305,135.596,117.813,188.949,117.813,188.949,192.305
20,880,278,162.249,154.549,53.3372,74.4707,0,135.58,191.784,135.58,117.313,188.917,117.313,188.917,191.784
21,920,281,162.345,153.975,53.4721,74.6591,0,135.609,191.305,135.609,116.646,189.081,116.646,189.081,191.305
22,960,283,162.376,153.494,53.461,74.6437,0,135.646,190.816,135.646,116.173,189.107,116.173,189.107,190.816
23,1000,278,162.589,152.945,53.4193,74.5854,0,135.88,190.238,135.88,115.653,189.299,115.653,189.299,190.238
24,1040,281,162.651,152.305,53.4398,74.614,0,135.931,189.612,135.931,114.998,189.371,114.998,189.371,189.612
25,1080,285,162.912,151.834,53.6489,74.906,0,136.088,189.287,136.088,114.381,189.737,114.381,189.737,189.287
26,1120,287,162.978,151.356,53.664,74.9271,0,136.146,188.82,136.146,113.893,189.81,113.893,189.81,188.82
27,1160,285,163.213,150.998,53.7409,75.0345,0,136.343,188.515,136.343,113.481,190.084,113.481,190.084,188.515
28,1200,281,163.691,150.572,53.8253,75.1523,0,136.779,188.148,136.779,112.996,190.604,112.996,190.604,188.148
29,1240,280,164.33,149.754,53.9035,75.2615,0,137.378,187.385,137.378,112.123,191.282,112.123,191.282,187.385
30,1280,280,164.938,149.18,54.0343,75.4442,0,137.921,186.902,137.921,111.458,191.955,111.458,191.955,186.902
31,1320,285,165.532,148.648,54.1655,75.6273,0,138.449,186.461,138.449,110.834,192.614,110.834,192.614,186.461
32,1360,294,166.299,148.595,54.5394,76.1493,0,139.029,186.669,139.029,110.52,193.569,110.52,193.569,186.669
33,1400,295,166.853,148.517,54.6979,76.3706,0,139.504,186.702,139.504,110.332,194.202,110.332,194.202,186.702
34,1440,286,167.342,148.626,54.9085,76.6646,0,139.888,186.958,139.888,110.293,194.796,110.293,194.796,186.958
35,1480,277,167.845,148.6,55.0299,76.8342,0,140.33,187.017,140.33,110.183,195.36,110.183,195.36,187.017
36,1520,271,168.979,148.441,55.3183,77.2368,0,141.32,187.059,141.32,109.822,196.638,109.822,196.638,187.059
37,1560,272,170.947,147.846,55.6189,77.6566,0,143.138,186.674,143.138,109.017,198.757,109.017,198.757,186.674
38,1600,271,172.511,147.1,56.2549,78.5446,0,144.383,186.373,144.383,107.828,200.638,107.828,200.638,186.373
39,1640,271,173.973,147.049,56.6278,79.0652,0,145.659,186.581,145.659,107.516,202.286,107.516,202.286,186.581
40,1680,262,176.073,147.207,56.9662,79.5377,0,147.59,186.976,147.59,107.439,204.556,107.439,204.556,186.976
41,1720,257,178.456,147.46,57.5116,80.2992,0,149.7,187.61,149.7,107.311,207.211,107.311,207.211,187.61
42,1760,266,180.613,147.783,58.1857,81.2404,0,151.521,188.403,151.521,107.163,209.706,107.163,209.706,188.403
43,1800,265,182.999,148.493,58.8794,82.209,0,153.559,189.598,153.559,107.388,212.438,107.388,212.438,189.598
44,1840,274,184.953,149.915,59.1851,82.6357,0,155.36,191.233,155.36,108.598,214.545,108.598,214.545,191.233
45,1880,271,186.812,150.955,59.4191,82.9625,0,157.102,192.436,157.102,109.473,216.521,109.473,216.521,192.436
46,1920,268,188.75,152.261,59.8718,83.5946,0,158.814,194.058,158.814,110.463,218.686,110.463,218.686,194.058
47,1960,271,189.867,152.772,60.4068,84.3415,0,159.664,194.943,159.664,110.601,220.07,110.601,220.07,194.943
48,2000,269,191.318,152.475,60.8441,84.9521,0,160.895,194.951,160.895,109.999,221.74,109.999,221.74,194.951
49,2040,271,193.197,151.491,60.9527,85.1037,0,162.721,194.043,162.721,108.939,223.674,108.939,223.674,194.043
50,2080,270,194.953,150.224,61.4927,85.8577,0,164.206,193.153,164.206,107.295,225.699,107.295,225.699,193.153
51,2120,264,196.986,148.66,62.0084,86.5777,0,165.982,191.949,165.982,105.371,227.99,105.371,227.99,191.949
52,2160,262,198.752,147.441,62.5117,87.2805,0,167.496,191.082,167.496,103.801,230.007,103.801,230.007,191.082
53,2200,270,200.267,146.482,62.7988,87.6814,0,168.868,190.322,168.868,102.641,231.667,102.641,231.667,190.322
54,2240,266,201.531,145.594,62.7982,87.6805,0,170.131,189.434,170.131,101.754,232.93,101.754,232.93,189.434
55,2280,265,202.024,144.964,62.4927,87.254,0,170.778,188.591,170.778,101.337,233.271,101.337,233.271,188.591
56,2320,262,202.614,144.027,62.915,87.8436,0,171.156,187.949,171.156,100.105,234.071,100.105,234.071,187.949
57,2360,265,203.556,143.413,63.2287,88.2816,0,171.942,187.554,171.942,99.2722,235.17,99.2722,235.17,187.554
