Frame,Timestamp (ms),Active points,Bounding box centre X (px),Bounding box centre Y (px),Bounding box width (px),Bounding box height (px),Bounding box rotation (degrees),Bounding box vertex 1 X (px),Bounding box vertex 1 Y (px),Bounding box vertex 2 X (px),Bounding box vertex 2 Y (px),Bounding box vertex 3 X (px),Bounding box vertex 3 Y (px),Bounding box vertex 4 X (px),Bounding box vertex 4 Y (px)
0,40,118,177.5,137,47,140,0,154,207,154,67,201,67,201,207
1,120,152,177.698,136.512,46.9048,139.716,0,154.245,206.37,154.245,66.6538,201.15,66.6538,201.15,206.37
2,160,151,178.211,137.132,47.7518,142.239,0,154.335,208.251,154.335,66.012,202.087,66.012,202.087,208.251
3,200,155,179.1,136.948,48.3434,144.001,0,154.928,208.949,154.928,64.9475,203.272,64.9475,203.272,208.949
4,240,151,179.75,137.055,48.6009,144.769,0,155.45,209.44,155.45,64.671,204.051,64.6711,204.051,209.44
5,280,152,180.749,137.23,48.6387,144.881,0,156.43,209.67,156.43,64.7889,205.069,64.7889,205.069,209.67
6,320,155,181.272,137.297,48.5926,144.744,0,156.976,209.669,156.976,64.9252,205.569,64.9252,205.569,209.669
7,360,146,182.133,136.862,48.2157,143.621,0,158.025,208.673,158.025,65.0515,206.241,65.0515,206.241,208.673
8,400,144,182.305,137.693,48.9666,145.858,0,157.822,210.622,157.822,64.7644,206.788,64.7644,206.788,210.622
9,440,148,183.457,137.165,48.5349,144.572,0,159.19,209.451,159.19,64.879,207.725,64.879,207.725,209.451
10,480,147,183.915,136.718,48.3411,143.995,0,159.745,208.715,159.745,64.7207,208.086,64.7207,208.086,208.715
11,520,145,184.821,137.662,49.1224,146.322,0,160.26,210.823,160.26,64.5008,209.383,64.5008,209.383,210.823
12,560,144,185.267,137.663,49.4708,147.36,0,160.531,211.343,160.531,63.9827,210.002,63.9827,210.002,211.343
13,600,150,186.112,138.156,49.9343,148.741,0,161.145,212.526,161.145,63.7854,211.079,63.7854,211.079,212.526
14,640,135,187.964,139.151,50.3162,149.878,0,162.806,214.09,162.806,64.2121,213.122,64.2121,213.122,214.09
15,680,133,188.392,139.287,49.2151,146.598,0,163.784,212.586,163.784,65.9875,212.999,65.9875,212.999,212.586
16,720,134,188.858,139.617,49.3895,147.118,0,164.164,213.176,164.164,66.0583,213.553,66.0583,213.553,213.176
17,760,129,189.616,139.535,48.9562,145.827,0,165.138,212.449,165.138,66.6219,214.094,66.6219,214.094,212.449
18,800,134,189.959,139.821,49.1861,146.512,0,165.366,213.077,165.366,66.5655,214.552,66.5655,214.552,213.077
19,840,138,191.145,140.346,49.9002,148.639,0,166.194,214.665,166.194,66.0265,216.095,66.0265,216.095,214.665
20,880,136,192.053,140.616,50.064,149.127,0,167.021,215.18,167.021,66.0529,217.085,66.0529,217.085,215.18
21,920,135,192.848,139.376,48.7272,145.145,0,168.484,211.948,168.484,66.8033,217.211,66.8033,217.211,211.948
22,960,145,194.066,138.937,48.2438,143.705,0,169.944,210.789,169.944,67.0842,218.188,67.0842,218.188,210.789
23,1000,139,194.932,138.546,47.783,142.332,0,171.041,209.712,171.041,67.3797,218.823,67.3797,218.823,209.712
24,1040,135,195.671,138.758,48.0802,143.218,0,171.631,210.366,171.631,67.1487,219.711,67.1487,219.711,210.366
25,1080,129,196.238,139.455,48.8766,145.59,0,171.8,212.25,171.8,66.66,220.676,66.6599,220.676,212.25
26,1120,133,196.836,140.47,51.73,154.089,0,170.971,217.515,170.971,63.4257,222.701,63.4257,222.701,217.515
27,1160,118,196.173,140.852,51.5749,153.627,0,170.385,217.666,170.385,64.0382,221.96,64.0382,221.96,217.666
28,1200,112,198.24,139.223,49.5734,147.666,0,173.453,213.055,173.453,65.39,223.027,65.39,223.027,213.055
29,1240,111,199.144,136.276,47.4299,141.28,0,175.429,206.916,175.429,65.6353,222.858,65.6353,222.858,206.916
30,1280,113,200.482,133.422,44.0318,131.159,0,178.466,199.001,178.466,67.8429,222.498,67.843,222.498,199.001
31,1320,113,200.64,128.753,39.9391,118.967,0,180.67,188.236,180.67,69.2689,220.609,69.2689,220.609,188.236
32,1360,114,200.936,129.656,40.8263,121.61,0,180.523,190.461,180.523,68.8511,221.349,68.8511,221.349,190.461
33,1400,111,201.189,130.419,41.6135,123.955,0,180.382,192.397,180.382,68.4419,221.995,68.4419,221.995,192.397
34,1440,116,201.419,129.919,40.7933,121.512,0,181.022,190.675,181.022,69.1629,221.816,69.1629,221.816,190.675
35,1480,117,201.851,130.528,41.4026,123.327,0,181.15,192.192,181.15,68.865,222.552,68.865,222.552,192.192
36,1520,113,202.504,130.656,41.3725,123.237,0,181.817,192.275,181.817,69.0378,223.19,69.0378,223.19,192.275
37,1560,112,203.342,131.382,41.5699,123.825,0,182.557,193.294,182.557,69.469,224.127,69.469,224.127,193.294
38,1600,111,203.823,133.557,44.0408,131.185,0,181.803,199.15,181.803,67.9643,225.843,67.9643,225.843,199.15
39,1640,113,203.872,133.864,44.3058,131.975,0,181.719,199.851,181.719,67.8763,226.025,67.8763,226.025,199.851
40,1680,110,204.098,133.971,44.238,131.773,0,181.979,199.857,181.979,68.0847,226.217,68.0847,226.217,199.857
41,1720,113,204.86,133.874,43.9295,130.854,0,182.896,199.301,182.896,68.4476,226.825,68.4476,226.825,199.301
42,1760,112,205.318,134.23,44.3926,132.233,0,183.121,200.347,183.121,68.1135,227.514,68.1135,227.514,200.347
43,1800,113,206.267,135.255,45.499,135.529,0,183.517,203.02,183.517,67.4906,229.016,67.4906,229.016,203.02
44,1840,116,206.319,134.775,44.4427,132.383,0,184.098,200.967,184.098,68.5842,228.541,68.5842,228.541,200.967
45,1880,113,206.825,134.288,44.0608,131.245,0,184.794,199.91,184.794,68.6653,228.855,68.6653,228.855,199.91
46,1920,113,207.531,135.11,44.641,132.973,0,185.211,201.596,185.211,68.623,229.852,68.623,229.852,201.596
47,1960,114,207.89,134.568,43.7352,130.275,0,186.022,199.706,186.022,69.4309,229.757,69.4309,229.757,199.706
48,2000,113,208.066,134.083,43.1475,128.524,0,186.493,198.345,186.493,69.8204,229.64,69.8204,229.64,198.345
49,2040,111,208.337,133.696,42.7711,127.403,0,186.951,197.398,186.951,69.9944,229.722,69.9944,229.722,197.398
50,2080,113,209.113,133.657,42.8967,127.777,0,187.665,197.546,187.665,69.7682,230.562,69.7682,230.562,197.546
51,2120,110,209.048,133.849,43.5302,129.664,0,187.282,198.681,187.282,69.0163,230.813,69.0163,230.813,198.681
52,2160,113,209.586,132.96,42.6791,127.129,0,188.247,196.525,188.247,69.3956,230.926,69.3956,230.926,196.525
53,2200,112,210.093,132.662,42.6288,126.979,0,188.779,196.152,188.779,69.1727,231.408,69.1727,231.408,196.152
54,2240,111,210.045,133,43.1857,128.638,0,188.452,197.319,188.452,68.6811,231.638,68.6811,231.638,197.319
55,2280,112,210.98,133.688,44.3846,132.209,0,188.788,199.792,188.788,67.5829,233.172,67.5829,233.172,199.792
56,2320,114,211.46,133.462,44.873,133.664,0,189.024,200.294,189.024,66.6301,233.897,66.6301,233.897,200.294
57,2360,116,211.822,134.67,46.8232,139.473,0,188.41,204.406,188.41,64.933,235.233,64.933,235.233,204.406
58,2400,117,212.081,135.8,47.7917,142.358,0,188.185,206.979,188.185,64.6213,235.977,64.6213,235.977,206.979
59,2440,117,212.058,136.313,47.4777,141.423,0,188.319,207.024,188.319,65.6012,235.797,65.6012,235.797,207.024
60,2480,114,211.929,137.928,48.3691,144.078,0,187.744,209.967,187.744,65.8891,236.113,65.8891,236.113,209.967
61,2520,113,212.277,139.419,47.9916,142.954,0,188.281,210.896,188.281,67.9424,236.273,67.9424,236.273,210.896
62,2560,112,212.678,143.038,51.0944,152.196,0,187.131,219.136,187.131,66.9399,238.225,66.9399,238.225,219.136
63,2600,113,212.991,146.606,53.4195,159.122,0,186.282,226.167,186.282,67.0454,239.701,67.0453,239.701,226.167
64,2640,115,213.208,149.509,55.46,165.2,0,185.478,232.109,185.478,66.9093,240.938,66.9093,240.938,232.109
65,2680,114,213.065,150.88,56.7105,168.925,0,184.71,235.343,184.71,66.4178,241.42,66.4178,241.42,235.343
66,2720,114,212.449,150.331,55.5016,165.324,0,184.698,232.993,184.698,67.6694,240.199,67.6694,240.199,232.993
67,2760,115,211.81,150.83,55.6476,165.759,0,183.986,233.71,183.986,67.9506,239.634,67.9506,239.634,233.71
68,2800,113,211.337,151.131,55.8924,166.488,0,183.391,234.375,183.391,67.8868,239.283,67.8868,239.283,234.375
69,2840,115,210.961,152.096,56.9269,169.57,0,182.497,236.881,182.497,67.3109,239.424,67.3109,239.424,236.881
70,2880,114,209.942,152.075,56.7071,168.915,0,181.589,236.532,181.589,67.6175,238.296,67.6175,238.296,236.532
71,2920,113,209.549,152.515,57.1528,170.242,0,180.972,237.636,180.972,67.3937,238.125,67.3937,238.125,237.636
72,2960,115,208.927,153.278,57.9664,172.666,0,179.944,239.611,179.944,66.9449,237.91,66.9449,237.91,239.611
73,3000,117,208.531,154.219,58.6227,174.621,0,179.219,241.529,179.219,66.9082,237.842,66.9082,237.842,241.529
74,3040,118,207.631,155.575,59.3766,176.867,0,177.943,244.008,177.943,67.1418,237.32,67.1418,237.32,244.008
75,3080,115,206.896,156.231,59.6439,177.663,0,177.074,245.062,177.074,67.3995,236.718,67.3995,236.718,245.062
76,3120,114,206.58,156.47,59.7512,177.982,0,176.704,245.461,176.704,67.4783,236.456,67.4783,236.456,245.461
77,3160,109,205.838,153.909,57.5286,171.362,0,177.073,239.59,177.073,68.2278,234.602,68.2278,234.602,239.59
78,3200,110,205.078,152.535,56.3731,167.92,0,176.892,236.495,176.892,68.575,233.265,68.575,233.265,236.495
79,3240,108,204.008,150.881,56.3198,167.761,0,175.848,234.762,175.848,67.0006,232.168,67.0006,232.168,234.762
80,3280,106,204.535,149.004,55.1899,164.396,0,176.94,231.201,176.94,66.8058,232.13,66.8058,232.13,231.201
81,3320,105,204.507,148.873,55.0245,163.903,0,176.995,230.824,176.995,66.9214,232.02,66.9214,232.02,230.824
82,3360,106,206.225,149.743,57.5641,171.468,0,177.443,235.477,177.443,64.0089,235.007,64.0089,235.007,235.477
83,3400,100,208.18,152.378,61.7518,183.942,0,177.304,244.349,177.304,60.4071,239.056,60.4071,239.056,244.349
84,3440,102,206.451,149.332,58.0725,172.982,0,177.415,235.823,177.415,62.8408,235.487,62.8408,235.487,235.823
85,3480,102,206.147,147.162,55.9314,166.604,0,178.181,230.464,178.181,63.8601,234.113,63.8601,234.113,230.464
86,3520,98,205.074,144.387,54.4266,162.122,0,177.861,225.448,177.861,63.3261,232.288,63.3261,232.288,225.448
87,3560,100,204.395,141.443,50.7537,151.181,0,179.019,217.034,179.019,65.8529,229.772,65.8529,229.772,217.034
88,3600,98,203.682,139.763,49.172,146.47,0,179.096,212.997,179.096,66.5276,228.268,66.5276,228.268,212.997
89,3640,100,203.926,137.957,47.2962,140.882,0,180.278,208.398,180.278,67.5161,227.574,67.5161,227.574,208.398
90,3680,100,204.754,137.388,47.4863,141.448,0,181.011,208.112,181.011,66.6637,228.498,66.6637,228.498,208.112
91,3720,102,205.353,136.803,46.3906,138.185,0,182.158,205.895,182.158,67.7106,228.548,67.7106,228.548,205.895
92,3760,103,205.98,136.957,46.388,138.177,0,182.786,206.046,182.786,67.8686,229.174,67.8686,229.174,206.046
93,3800,105,206.515,136.342,45.487,135.493,0,183.771,204.089,183.771,68.5956,229.258,68.5956,229.258,204.089
94,3840,108,206.783,136.123,44.7799,133.387,0,184.393,202.816,184.393,69.4293,229.173,69.4293,229.173,202.816
95,3880,107,207.224,136.536,45.1842,134.591,0,184.632,203.831,184.632,69.2399,229.816,69.2399,229.816,203.831
96,3920,108,207.799,136.626,44.6127,132.889,0,185.493,203.071,185.493,70.1819,230.106,70.1819,230.106,203.071
97,3960,113,208.193,136.957,45.2469,134.778,0,185.569,204.346,185.569,69.5682,230.816,69.5682,230.816,204.346
98,4000,109,208.609,136.591,44.8311,133.539,0,186.193,203.36,186.193,69.821,231.024,69.821,231.024,203.36
99,4040,113,208.72,138.242,46.3862,138.172,0,185.527,207.327,185.527,69.1556,231.914,69.1556,231.914,207.327
100,4080,111,208.591,137.795,45.507,135.553,0,185.837,205.571,185.837,70.0184,231.344,70.0184,231.344,205.571
101,4120,113,208.621,137.858,45.6512,135.982,0,185.796,205.849,185.796,69.8671,231.447,69.8671,231.447,205.849
102,4160,111,208.202,137.955,45.0876,134.303,0,185.658,205.107,185.658,70.8034,230.745,70.8034,230.745,205.107
103,4200,105,207.857,138.858,46.0074,137.043,0,184.853,207.38,184.853,70.3368,230.86,70.3368,230.86,207.38
104,4240,108,208.48,140.31,47.3604,141.074,0,184.8,210.847,184.8,69.7731,232.16,69.7731,232.16,210.847
105,4280,111,207.803,140.482,47.6009,141.79,0,184.002,211.377,184.002,69.5867,231.603,69.5867,231.603,211.377
106,4320,107,206.895,138.986,46.202,137.623,0,183.794,207.797,183.794,70.1742,229.996,70.1742,229.996,207.797
107,4360,110,206.895,139.007,46.3435,138.044,0,183.723,208.029,183.723,69.9844,230.067,69.9844,230.067,208.029
108,4400,112,206.758,138.807,46.3731,138.133,0,183.571,207.874,183.571,69.741,229.944,69.741,229.944,207.874
109,4440,109,206.441,138.523,46.2066,137.637,0,183.338,207.341,183.338,69.7045,229.544,69.7045,229.544,207.341
110,4480,109,206.44,138.644,46.6652,139.003,0,183.108,208.145,183.108,69.1422,229.773,69.1422,229.773,208.145
111,4520,113,206.137,138.678,46.9634,139.891,0,182.655,208.624,182.655,68.7327,229.619,68.7327,229.619,208.624
112,4560,110,205.519,137.653,45.5535,135.691,0,182.742,205.499,182.742,69.8078,228.296,69.8078,228.296,205.499
113,4600,112,205.392,138.601,46.7806,139.346,0,182.002,208.274,182.002,68.9273,228.782,68.9273,228.782,208.274
114,4640,114,205.09,138.06,45.9508,136.875,0,182.114,206.498,182.114,69.623,228.065,69.623,228.065,206.498
115,4680,108,205.066,137.771,45.6579,136.002,0,182.237,205.773,182.237,69.7702,227.895,69.7702,227.895,205.773
116,4720,112,205.428,138.646,46.8565,139.573,0,182,208.432,182,68.8598,228.857,68.8598,228.857,208.432
117,4760,112,205.182,137.666,46.1058,137.336,0,182.129,206.334,182.129,68.9973,228.235,68.9973,228.235,206.334
118,4800,115,205.029,137.783,46.6645,139.001,0,181.696,207.283,181.696,68.2824,228.361,68.2824,228.361,207.283
119,4840,111,204.797,136.811,45.587,135.791,0,182.003,204.706,182.003,68.9155,227.59,68.9155,227.59,204.706
120,4880,114,204.736,138.264,47.809,142.41,0,180.832,209.469,180.832,67.0593,228.641,67.0593,228.641,209.469
121,4920,112,204.492,137.286,46.5631,138.699,0,181.21,206.635,181.21,67.9364,227.773,67.9364,227.773,206.635
122,4960,111,205.076,137.334,47.0663,140.198,0,181.543,207.433,181.543,67.235,228.61,67.235,228.61,207.433
123,5000,110,205.558,138.637,48.9969,145.948,0,181.059,211.611,181.059,65.6629,230.056,65.6629,230.056,211.611
124,5040,113,205.422,138.97,49.5219,147.512,0,180.661,212.726,180.661,65.2138,230.183,65.2138,230.183,212.726
125,5080,109,205.73,138.527,48.6567,144.935,0,181.402,210.995,181.402,66.0599,230.058,66.0599,230.058,210.995
126,5120,110,206.147,139.305,48.9906,145.929,0,181.652,212.27,181.652,66.3405,230.642,66.3405,230.642,212.27
127,5160,108,206.596,138.446,48.2722,143.789,0,182.46,210.341,182.46,66.5517,230.732,66.5517,230.732,210.341
128,5200,107,207.177,139.498,50.0073,148.958,0,182.173,213.977,182.173,65.0191,232.18,65.0191,232.18,213.977
129,5240,111,207.084,139.39,49.6415,147.868,0,182.264,213.324,182.264,65.4554,231.905,65.4554,231.905,213.324
130,5280,108,206.933,138.307,48.1755,143.501,0,182.845,210.058,182.845,66.5565,231.02,66.5565,231.02,210.058
131,5320,111,207.375,139.488,49.3767,147.08,0,182.687,213.028,182.687,65.9482,232.063,65.9482,232.063,213.028
132,5360,110,207.058,139.118,48.5648,144.661,0,182.775,211.449,182.775,66.7876,231.34,66.7876,231.34,211.449
133,5400,109,207.315,141.304,50.8239,151.39,0,181.903,216.999,181.903,65.6086,232.727,65.6086,232.727,216.999
134,5440,112,207.684,142.685,52.3714,156,0,181.498,220.685,181.498,64.6851,233.87,64.6851,233.87,220.685
135,5480,112,206.868,142.539,52.1273,155.273,0,180.805,220.175,180.805,64.9022,232.932,64.9022,232.932,220.175
136,5520,116,207.029,142.74,52.7817,157.222,0,180.638,221.351,180.638,64.1287,233.419,64.1287,233.419,221.351
137,5560,113,207.652,142.549,53.0691,158.078,0,181.117,221.588,181.117,63.5095,234.186,63.5095,234.186,221.588
138,5600,114,208.184,142.499,52.6846,156.933,0,181.842,220.965,181.842,64.0325,234.526,64.0325,234.526,220.965
139,5640,113,208.973,141.728,52.5368,156.493,0,182.705,219.974,182.705,63.4817,235.241,63.4817,235.241,219.974
140,5680,110,209.602,141.348,52.5501,156.532,0,183.327,219.614,183.327,63.0818,235.877,63.0818,235.877,219.614
141,5720,114,211.235,142.453,54.2111,161.48,0,184.13,223.193,184.13,61.7129,238.341,61.7129,238.341,223.193
142,5760,113,212.59,142.196,53.6202,159.72,0,185.78,222.056,185.78,62.3361,239.4,62.3361,239.4,222.056
143,5800,115,213.598,142.607,54.1079,161.172,0,186.544,223.193,186.544,62.021,240.652,62.021,240.652,223.193
144,5840,112,214.813,142.616,53.7456,160.093,0,187.941,222.663,187.941,62.5695,241.686,62.5695,241.686,222.663
145,5880,115,216.13,144.567,56.3282,167.786,0,187.966,228.46,187.966,60.674,244.294,60.674,244.294,228.46
146,5920,118,216.409,143.961,55.6205,165.678,0,188.599,226.8,188.599,61.1219,244.22,61.1219,244.22,226.8
147,5960,120,217.585,143.632,55.1806,164.368,0,189.995,225.816,189.995,61.4477,245.175,61.4477,245.175,225.816
148,6000,118,217.5,143.614,55.2953,164.709,0,189.853,225.969,189.853,61.2598,245.148,61.2599,245.148,225.969
149,6040,118,218.276,143.966,55.1704,164.337,0,190.691,226.134,190.691,61.797,245.861,61.797,245.861,226.134
150,6080,121,218.703,143.678,54.9213,163.596,0,191.242,225.476,191.242,61.8801,246.164,61.8801,246.164,225.476
151,6120,121,218.413,142.803,53.2999,158.766,0,191.763,222.186,191.763,63.4203,245.063,63.4203,245.063,222.186
152,6160,117,218.659,141.576,51.3774,153.039,0,192.97,218.095,192.97,65.0562,244.348,65.0562,244.348,218.095
153,6200,118,219.35,143.715,54.2739,161.667,0,192.213,224.549,192.213,62.882,246.487,62.882,246.487,224.549
154,6240,120,219.48,145.341,56.3492,167.849,0,191.306,229.265,191.306,61.4163,247.655,61.4163,247.655,229.265
155,6280,119,219.57,145.659,56.9771,169.719,0,191.082,230.518,191.082,60.7993,248.059,60.7993,248.059,230.518
156,6320,117,219.792,146.177,57.6769,171.804,0,190.953,232.079,190.953,60.2754,248.63,60.2754,248.63,232.079
157,6360,113,219.68,146.831,59.447,177.076,0,189.956,235.369,189.956,58.2932,249.403,58.2932,249.403,235.369
