Frame,Timestamp (ms),Active points,Bounding box centre X (px),Bounding box centre Y (px),Bounding box width (px),Bounding box height (px),Bounding box rotation (degrees),Bounding box vertex 1 X (px),Bounding box vertex 1 Y (px),Bounding box vertex 2 X (px),Bounding box vertex 2 Y (px),Bounding box vertex 3 X (px),Bounding box vertex 3 Y (px),Bounding box vertex 4 X (px),Bounding box vertex 4 Y (px)
0,40,57,164,126.5,34,33,0,147,143,147,110,181,110,181,143
1,120,72,165.962,130.446,34.1657,33.1608,0,148.879,147.026,148.879,113.866,183.045,113.866,183.045,147.026
2,160,72,166.448,130.412,34.5598,33.5433,0,149.168,147.183,149.168,113.64,183.727,113.64,183.727,147.183
3,200,71,172.268,135.706,34.4202,33.4079,0,155.058,152.41,155.058,119.002,189.478,119.002,189.478,152.41
4,240,76,175.729,135.87,35.9213,34.8648,0,157.768,153.302,157.768,118.437,193.69,118.437,193.69,153.302
5,280,74,177.901,135.527,36.7015,35.622,0,159.55,153.338,159.55,117.716,196.252,117.716,196.252,153.338
6,320,69,177.978,136.706,36.5768,35.501,0,159.689,154.456,159.689,118.955,196.266,118.955,196.266,154.456
7,360,68,178.506,138.054,35.5305,34.4855,0,160.741,155.297,160.741,120.812,196.272,120.812,196.272,155.297
8,400,73,179.037,138.456,35.012,33.9822,0,161.531,155.448,161.531,121.465,196.543,121.465,196.543,155.448
9,440,74,180.081,138.2,34.9285,33.9012,0,162.617,155.15,162.617,121.249,197.545,121.249,197.545,155.15
10,480,70,182.647,136.438,34.6579,33.6386,0,165.318,153.258,165.318,119.619,199.976,119.619,199.976,153.258
11,520,75,181.273,132.044,35.2907,34.2527,0,163.628,149.17,163.628,114.917,198.919,114.917,198.919,149.17
12,560,73,177.149,129.47,33.9568,32.9581,0,160.17,145.949,160.17,112.991,194.127,112.991,194.127,145.949
13,600,70,173.132,127.087,34.5414,33.5255,0,155.861,143.849,155.861,110.324,190.402,110.324,190.402,143.849
14,640,72,172.462,124.465,33.4098,32.4272,0,155.757,140.679,155.757,108.252,189.167,108.252,189.167,140.679
15,680,73,170.592,96.6952,33.5744,32.5869,0,153.805,112.989,153.805,80.4017,187.38,80.4017,187.38,112.989
16,720,68,167.976,91.8276,33.851,32.8553,0,151.051,108.255,151.051,75.3999,184.902,75.3999,184.902,108.255
17,760,68,164.089,89.1223,33.072,32.0993,0,147.553,105.172,147.553,73.0726,180.625,73.0726,180.625,105.172
18,800,68,159.289,87.5838,32.3757,31.4235,0,143.101,103.296,143.101,71.8721,175.477,71.8721,175.477,103.296
19,840,68,152.587,86.181,31.916,30.9773,0,136.629,101.67,136.629,70.6923,168.545,70.6923,168.545,101.67
20,880,69,146.083,85.4534,30.7888,29.8833,0,130.689,100.395,130.689,70.5118,161.478,70.5118,161.478,100.395
21,920,68,145.436,85.1929,31.5056,30.5789,0,129.684,100.482,129.684,69.9035,161.189,69.9035,161.189,100.482
22,960,67,145.175,84.935,31.6736,30.742,0,129.338,100.306,129.338,69.564,161.012,69.564,161.012,100.306
23,1000,70,144.714,83.7947,31.583,30.6541,0,128.923,99.1217,128.923,68.4676,160.506,68.4676,160.506,99.1217
24,1040,69,145.934,82.3985,31.899,30.9608,0,129.985,97.8789,129.985,66.9181,161.884,66.9181,161.884,97.8789
25,1080,70,156.314,86.052,32.1032,31.159,0,140.263,101.632,140.263,70.4725,172.366,70.4725,172.366,101.632
26,1120,69,163.267,91.2192,31.3267,30.4054,0,147.604,106.422,147.604,76.0165,178.93,76.0165,178.93,106.422
27,1160,72,168.228,97.971,31.2435,30.3245,0,152.606,113.133,152.606,82.8088,183.849,82.8088,183.849,113.133
28,1200,68,173.543,107.457,32.4186,31.4651,0,157.334,123.19,157.334,91.7248,189.752,91.7248,189.752,123.19
29,1240,70,177.316,117.249,33.8602,32.8643,0,160.386,133.681,160.386,100.817,194.247,100.817,194.247,133.681
30,1280,63,180.473,139.519,35.1793,34.1446,0,162.883,156.591,162.883,122.447,198.062,122.447,198.062,156.591
31,1320,65,182.324,147.094,33.1061,32.1324,0,165.771,163.161,165.771,131.028,198.877,131.028,198.877,163.161
32,1360,65,182.621,144.444,31.3354,30.4138,0,166.953,159.651,166.953,129.237,198.289,129.237,198.289,159.651
33,1400,66,182.041,129.968,27.1315,26.3335,0,168.475,143.135,168.475,116.801,195.606,116.801,195.606,143.135
34,1440,67,181.204,110.766,28.0311,27.2067,0,167.189,124.369,167.189,97.1626,195.22,97.1626,195.22,124.369
35,1480,64,182.524,83.7721,32.4233,31.4697,0,166.312,99.5069,166.312,68.0372,198.735,68.0372,198.735,99.5069
36,1520,63,181.711,78.2284,37.6794,36.5711,0,162.872,96.514,162.872,59.9428,200.551,59.9428,200.551,96.514
37,1560,65,180.902,75.4751,38.6391,37.5027,0,161.583,94.2265,161.583,56.7238,200.222,56.7238,200.222,94.2265
38,1600,62,180.088,76.0473,38.2817,37.1558,0,160.947,94.6252,160.947,57.4694,199.229,57.4694,199.229,94.6252
39,1640,60,179.424,79.5361,37.3071,36.2098,0,160.771,97.641,160.771,61.4312,198.078,61.4312,198.078,97.641
40,1680,59,178.897,94.5527,37.8416,36.7286,0,159.977,112.917,159.977,76.1884,197.818,76.1884,197.818,112.917
41,1720,62,178.641,109.202,37.3185,36.2209,0,159.981,127.313,159.981,91.0917,197.3,91.0917,197.3,127.313
42,1760,62,178.681,125.216,38.3384,37.2108,0,159.512,143.822,159.512,106.611,197.851,106.611,197.851,143.822
43,1800,60,178.644,138.829,42.4891,41.2394,0,157.4,159.449,157.4,118.21,199.889,118.21,199.889,159.449
44,1840,61,177.761,141.13,43.9553,42.6625,0,155.783,162.461,155.783,119.799,199.738,119.799,199.738,162.461
45,1880,55,177.138,120.199,41.4715,40.2517,0,156.402,140.325,156.402,100.073,197.873,100.073,197.873,140.325
46,1920,57,177.037,111.073,43.051,41.7848,0,155.511,131.965,155.511,90.1803,198.562,90.1803,198.562,131.965
47,1960,60,176.967,109.922,39.3567,38.1992,0,157.288,129.021,157.288,90.8223,196.645,90.8223,196.645,129.021
48,2000,62,176.005,111.036,39.8253,38.654,0,156.092,130.363,156.092,91.7088,195.918,91.7088,195.918,130.363
49,2040,62,175.197,115.591,41.4478,40.2288,0,154.474,135.706,154.474,95.4769,195.921,95.4769,195.921,135.706
50,2080,60,173.643,132.287,40.9052,39.7021,0,153.191,152.138,153.191,112.436,194.096,112.436,194.096,152.138
51,2120,59,173.587,142.821,44.6684,43.3546,0,151.253,164.499,151.253,121.144,195.921,121.144,195.921,164.499
52,2160,58,174.158,156.205,41.0702,39.8622,0,153.623,176.137,153.623,136.274,194.694,136.274,194.694,176.137
53,2200,62,175.1,171.663,41.8646,40.6333,0,154.168,191.979,154.168,151.346,196.033,151.346,196.033,191.979
54,2240,65,174.988,185.636,43.06,41.7935,0,153.458,206.532,153.458,164.739,196.518,164.739,196.518,206.532
55,2280,67,173.707,171.527,38.7301,37.5909,0,154.342,190.322,154.342,152.731,193.072,152.731,193.072,190.322
56,2320,63,173.317,154.868,40.7159,39.5184,0,152.959,174.627,152.959,135.108,193.675,135.108,193.675,174.627
57,2360,57,172.597,142.169,42.0516,40.8148,0,151.571,162.576,151.571,121.761,193.622,121.761,193.622,162.576
58,2400,59,172.008,133.746,43.5637,42.2824,0,150.226,154.887,150.226,112.605,193.79,112.605,193.79,154.887
59,2440,56,170.943,129.138,44.3272,43.0234,0,148.779,150.65,148.779,107.627,193.106,107.627,193.106,150.65
60,2480,58,168.255,126.735,48.9564,47.5165,0,143.777,150.494,143.777,102.977,192.733,102.977,192.733,150.494
61,2520,58,166.813,130.071,46.2039,44.845,0,143.711,152.493,143.711,107.648,189.915,107.648,189.915,152.493
62,2560,55,164.495,136.434,44.7624,43.4458,0,142.114,158.156,142.114,114.711,186.876,114.711,186.876,158.156
63,2600,58,163.088,146.932,45.4541,44.1172,0,140.361,168.991,140.361,124.873,185.815,124.873,185.815,168.991
64,2640,62,162.822,158.687,45.3946,44.0594,0,140.124,180.716,140.124,136.657,185.519,136.657,185.519,180.716
65,2680,66,161.398,159.575,43.5432,42.2625,0,139.627,180.706,139.627,138.444,183.17,138.444,183.17,180.706
66,2720,58,157.066,140.351,45.2504,43.9195,0,134.44,162.311,134.44,118.392,179.691,118.392,179.691,162.311
67,2760,59,153.461,122.568,40.7101,39.5128,0,133.106,142.324,133.106,102.812,173.816,102.812,173.816,142.324
68,2800,59,150.834,108.474,42.6729,41.4178,0,129.498,129.183,129.498,87.7649,172.171,87.7649,172.171,129.183
69,2840,64,147.818,98.9877,43.8232,42.5343,0,125.907,120.255,125.907,77.7205,169.73,77.7205,169.73,120.255
70,2880,60,142.553,94.1484,44.9803,43.6573,0,120.063,115.977,120.063,72.3198,165.043,72.3198,165.043,115.977
71,2920,62,140.379,95.7063,48.3063,46.8855,0,116.226,119.149,116.226,72.2635,164.532,72.2635,164.532,119.149
72,2960,62,138.749,104.385,42.8865,41.6251,0,117.306,125.198,117.306,83.5729,160.192,83.5729,160.192,125.198
73,3000,60,138.867,119.196,45.2214,43.8914,0,116.256,141.142,116.256,97.2502,161.477,97.2502,161.477,141.142
74,3040,63,139.691,135.98,44.0925,42.7957,0,117.645,157.378,117.645,114.582,161.738,114.582,161.738,157.378
75,3080,70,142.169,163.773,45.2974,43.9651,0,119.52,185.756,119.52,141.79,164.818,141.79,164.818,185.756
76,3120,69,141.086,156.084,40.9959,39.7902,0,120.588,175.979,120.588,136.189,161.584,136.189,161.584,175.979
77,3160,65,142.345,138.916,37.9774,36.8604,0,123.357,157.346,123.357,120.486,161.334,120.486,161.334,157.346
78,3200,63,148.999,123.84,35.8344,34.7805,0,131.082,141.23,131.082,106.45,166.917,106.45,166.917,141.23
79,3240,63,156.546,110.429,35.9553,34.8978,0,138.568,127.878,138.568,92.9805,174.523,92.9805,174.523,127.878
80,3280,60,162.957,98.5303,39.8869,38.7137,0,143.014,117.887,143.014,79.1734,182.9,79.1734,182.9,117.887
81,3320,60,167.887,97.0063,40.591,39.3971,0,147.591,116.705,147.591,77.3077,188.182,77.3077,188.182,116.705
82,3360,59,173.144,99.6678,38.7646,37.6245,0,153.761,118.48,153.761,80.8555,192.526,80.8555,192.526,118.48
