Frame,Timestamp (ms),Active points,Bounding box centre X (px),Bounding box centre Y (px),Bounding box width (px),Bounding box height (px),Bounding box rotation (degrees),Bounding box vertex 1 X (px),Bounding box vertex 1 Y (px),Bounding box vertex 2 X (px),Bounding box vertex 2 Y (px),Bounding box vertex 3 X (px),Bounding box vertex 3 Y (px),Bounding box vertex 4 X (px),Bounding box vertex 4 Y (px)
0,40,63,293,254.5,70,209,0,258,359,258,150,328,150,328,359
1,120,119,293.035,254.483,69.9967,208.99,0,258.036,358.978,258.036,149.988,328.033,149.988,328.033,358.978
2,160,120,292.383,255.41,69.9999,209,0,257.384,359.91,257.384,150.91,327.383,150.91,327.383,359.91
3,200,122,292.342,255.525,69.9925,208.978,0,257.346,360.014,257.346,151.036,327.339,151.036,327.339,360.014
4,240,124,292.645,255.406,69.9899,208.97,0,257.65,359.891,257.65,150.921,327.64,150.921,327.64,359.891
5,280,118,292.522,255.91,70.011,209.033,0,257.516,360.426,257.516,151.393,327.527,151.393,327.527,360.426
6,320,125,292.478,255.626,69.9762,208.929,0,257.49,360.091,257.49,151.162,327.467,151.162,327.467,360.091
7,360,122,292.571,255.611,69.9395,208.819,0,257.601,360.021,257.601,151.201,327.54,151.201,327.54,360.021
8,400,124,292.565,255.359,69.984,208.952,0,257.573,359.835,257.573,150.883,327.557,150.883,327.557,359.835
9,440,123,292.21,255.705,69.9901,208.97,0,257.215,360.19,257.215,151.22,327.205,151.22,327.205,360.19
10,480,114,292.405,255.605,70.0102,209.03,0,257.4,360.12,257.4,151.09,327.41,151.09,327.41,360.12
11,520,119,292.206,255.891,69.9984,208.995,0,257.207,360.388,257.207,151.393,327.205,151.393,327.205,360.388
12,560,120,292.152,255.732,69.998,208.994,0,257.153,360.229,257.153,151.235,327.151,151.235,327.151,360.229
13,600,129,292.345,256.121,70.1068,209.319,0,257.292,360.781,257.292,151.462,327.399,151.462,327.399,360.781
14,640,122,291.985,256.197,70.0136,209.041,0,256.978,360.718,256.978,151.677,326.992,151.677,326.992,360.718
15,680,127,291.951,256.088,70.0894,209.267,0,256.906,360.722,256.906,151.455,326.995,151.455,326.995,360.722
16,720,123,291.787,256.382,70.1593,209.476,0,256.707,361.119,256.707,151.644,326.866,151.644,326.866,361.119
17,760,122,291.957,256.201,70.0922,209.275,0,256.911,360.839,256.911,151.564,327.003,151.564,327.003,360.839
18,800,118,292.195,256.244,70.1124,209.336,0,257.139,360.912,257.139,151.576,327.252,151.576,327.252,360.912
19,840,124,292.375,256.003,70.0754,209.225,0,257.337,360.616,257.337,151.39,327.412,151.39,327.412,360.616
20,880,126,292.178,255.881,70.2063,209.616,0,257.075,360.689,257.075,151.073,327.281,151.073,327.281,360.689
21,920,120,292.148,255.976,70.0774,209.231,0,257.11,360.592,257.11,151.361,327.187,151.361,327.187,360.592
22,960,127,291.852,255.984,70.1119,209.334,0,256.796,360.651,256.796,151.317,326.907,151.317,326.907,360.651
23,1000,121,291.962,256.156,70.0248,209.074,0,256.95,360.693,256.95,151.618,326.975,151.618,326.975,360.693
24,1040,124,291.987,255.957,69.9993,208.998,0,256.988,360.456,256.988,151.458,326.987,151.458,326.987,360.456
25,1080,124,292.08,256.231,70.0244,209.073,0,257.068,360.767,257.068,151.694,327.092,151.694,327.092,360.767
26,1120,123,292.437,256.031,70.1045,209.312,0,257.385,360.687,257.385,151.375,327.489,151.375,327.489,360.687
27,1160,119,292.441,256.217,70.122,209.364,0,257.38,360.899,257.38,151.535,327.502,151.535,327.502,360.899
28,1200,119,292.234,256.267,70.1134,209.338,0,257.178,360.936,257.178,151.598,327.291,151.598,327.291,360.936
29,1240,121,292.194,256.082,70.0079,209.024,0,257.19,360.593,257.19,151.57,327.198,151.57,327.198,360.593
30,1280,121,291.98,256.033,70.0963,209.288,0,256.932,360.676,256.932,151.389,327.028,151.389,327.028,360.676
31,1320,128,292.218,255.929,70.0446,209.133,0,257.196,360.496,257.196,151.363,327.24,151.363,327.24,360.496
32,1360,123,292.226,255.893,70.0502,209.15,0,257.201,360.468,257.201,151.318,327.252,151.318,327.252,360.468
33,1400,120,292.451,255.926,70.0157,209.047,0,257.443,360.45,257.443,151.403,327.459,151.403,327.459,360.45
34,1440,120,292.125,255.918,70.154,209.46,0,257.048,360.648,257.048,151.188,327.202,151.188,327.202,360.648
35,1480,120,291.838,255.898,70.053,209.158,0,256.812,360.477,256.812,151.319,326.865,151.319,326.865,360.477
36,1520,122,292.031,255.716,69.9988,208.996,0,257.031,360.214,257.031,151.218,327.03,151.218,327.03,360.214
37,1560,121,292.086,255.776,70.1447,209.432,0,257.014,360.492,257.014,151.06,327.158,151.06,327.158,360.492
38,1600,124,292.259,255.697,70.0223,209.066,0,257.248,360.23,257.248,151.164,327.27,151.164,327.27,360.23
39,1640,126,292.234,255.672,70.0553,209.165,0,257.206,360.255,257.206,151.09,327.261,151.09,327.261,360.255
40,1680,121,292.029,255.75,70.055,209.164,0,257.001,360.332,257.001,151.168,327.056,151.168,327.056,360.332
41,1720,122,292.591,255.697,70.0058,209.017,0,257.588,360.205,257.588,151.188,327.594,151.188,327.594,360.205
42,1760,113,292.147,255.804,69.9883,208.965,0,257.152,360.286,257.152,151.321,327.141,151.321,327.141,360.286
43,1800,116,292.099,255.677,69.9985,208.996,0,257.1,360.175,257.1,151.179,327.098,151.179,327.098,360.175
44,1840,114,292.029,255.757,70.0348,209.104,0,257.011,360.309,257.011,151.205,327.046,151.205,327.046,360.309
45,1880,119,292.232,256.056,70.0321,209.096,0,257.216,360.604,257.216,151.508,327.248,151.508,327.248,360.604
46,1920,123,291.862,255.699,70.1132,209.338,0,256.805,360.368,256.805,151.03,326.918,151.03,326.918,360.368
47,1960,113,292.037,255.763,70.3045,209.909,0,256.885,360.718,256.885,150.809,327.189,150.809,327.189,360.718
48,2000,115,292.137,255.671,70.2242,209.669,0,257.025,360.505,257.025,150.836,327.249,150.836,327.249,360.505
49,2040,118,292.008,255.61,70.2212,209.66,0,256.898,360.44,256.898,150.779,327.119,150.779,327.119,360.44
50,2080,115,292.042,255.576,70.086,209.257,0,256.999,360.204,256.999,150.948,327.085,150.948,327.085,360.204
51,2120,116,292.422,255.525,70.0952,209.284,0,257.374,360.167,257.374,150.883,327.469,150.883,327.469,360.167
52,2160,116,292.481,255.663,70.2104,209.628,0,257.375,360.477,257.375,150.849,327.586,150.849,327.586,360.477
53,2200,118,292.302,255.644,70.0754,209.225,0,257.265,360.257,257.265,151.032,327.34,151.032,327.34,360.257
54,2240,116,292.375,255.645,70.2958,209.883,0,257.227,360.587,257.227,150.703,327.523,150.703,327.523,360.587
55,2280,116,292.114,255.709,70.2947,209.88,0,256.967,360.649,256.967,150.769,327.261,150.769,327.261,360.649
56,2320,115,292.042,256.008,70.2961,209.884,0,256.894,360.951,256.894,151.066,327.19,151.066,327.19,360.951
57,2360,116,292.078,255.649,70.2942,209.879,0,256.93,360.588,256.93,150.71,327.225,150.71,327.225,360.588
58,2400,114,292.123,255.896,70.2782,209.831,0,256.984,360.812,256.984,150.981,327.262,150.981,327.262,360.812
59,2440,112,292.446,255.87,70.2418,209.722,0,257.325,360.731,257.325,151.009,327.567,151.009,327.567,360.731
60,2480,118,292.458,256.024,70.2694,209.804,0,257.323,360.926,257.323,151.122,327.592,151.122,327.592,360.926
61,2520,115,292.015,255.695,70.1618,209.483,0,256.934,360.437,256.934,150.954,327.096,150.954,327.096,360.437
62,2560,115,292.205,255.893,70.1381,209.412,0,257.135,360.599,257.135,151.187,327.274,151.187,327.274,360.599
63,2600,119,292.31,256.007,70.134,209.4,0,257.243,360.707,257.243,151.307,327.377,151.307,327.377,360.707
64,2640,122,292.287,255.898,70.2633,209.786,0,257.155,360.791,257.155,151.005,327.418,151.005,327.418,360.791
65,2680,115,292.332,256,70.096,209.287,0,257.284,360.644,257.284,151.357,327.38,151.357,327.38,360.644
66,2720,116,292.064,255.974,70.1113,209.332,0,257.008,360.64,257.008,151.308,327.119,151.308,327.119,360.64
67,2760,118,292.164,255.637,70.1027,209.307,0,257.113,360.29,257.113,150.983,327.216,150.983,327.216,360.29
68,2800,114,292.481,255.808,70.2381,209.711,0,257.362,360.663,257.362,150.952,327.6,150.952,327.6,360.663
69,2840,115,292.328,255.772,70.1047,209.313,0,257.276,360.429,257.276,151.116,327.381,151.116,327.381,360.429
70,2880,114,292.323,255.776,70.4021,210.201,0,257.122,360.877,257.122,150.676,327.524,150.676,327.524,360.877
71,2920,121,292.184,255.85,70.1232,209.368,0,257.122,360.534,257.122,151.166,327.245,151.166,327.245,360.534
72,2960,117,292.427,255.755,70.3241,209.968,0,257.265,360.739,257.265,150.771,327.589,150.771,327.589,360.739
73,3000,115,292.511,255.817,70.1491,209.445,0,257.436,360.54,257.436,151.094,327.585,151.094,327.585,360.54
74,3040,115,292.511,255.965,70.3227,209.963,0,257.349,360.947,257.349,150.984,327.672,150.984,327.672,360.947
75,3080,110,292.513,255.809,70.1248,209.373,0,257.45,360.496,257.45,151.123,327.575,151.123,327.575,360.496
76,3120,114,292.595,256.158,70.0863,209.258,0,257.552,360.787,257.552,151.529,327.639,151.529,327.639,360.787
77,3160,112,292.532,256.154,70.2078,209.62,0,257.428,360.964,257.428,151.344,327.636,151.344,327.636,360.964
78,3200,105,292.835,256.087,70.0717,209.214,0,257.799,360.694,257.799,151.48,327.87,151.48,327.87,360.694
79,3240,106,292.508,256.187,70.0475,209.142,0,257.484,360.758,257.484,151.616,327.532,151.616,327.532,360.758
80,3280,112,292.347,256.092,70.1821,209.544,0,257.255,360.864,257.255,151.32,327.438,151.32,327.438,360.864
81,3320,112,292.206,256.474,70.4114,210.228,0,257,361.588,257,151.36,327.412,151.36,327.412,361.588
82,3360,109,292.561,256.154,70.4076,210.217,0,257.357,361.263,257.357,151.046,327.765,151.046,327.765,361.263
83,3400,113,292.376,256.242,70.2864,209.855,0,257.233,361.17,257.233,151.314,327.52,151.314,327.52,361.17
84,3440,112,292.495,256.239,70.2939,209.877,0,257.348,361.177,257.348,151.3,327.642,151.3,327.642,361.177
85,3480,114,292.57,256.212,70.0422,209.126,0,257.549,360.775,257.549,151.649,327.591,151.649,327.591,360.775
86,3520,110,292.338,256.028,70.0321,209.096,0,257.322,360.576,257.322,151.48,327.355,151.48,327.355,360.576
87,3560,111,292.278,256.222,70.1673,209.5,0,257.194,360.971,257.194,151.472,327.362,151.472,327.362,360.971
88,3600,110,292.28,255.884,70.3112,209.929,0,257.124,360.849,257.124,150.92,327.435,150.92,327.435,360.849
89,3640,105,292.367,255.879,70.1339,209.4,0,257.3,360.579,257.3,151.179,327.434,151.179,327.434,360.579
90,3680,102,292.858,255.965,70.0357,209.107,0,257.84,360.518,257.84,151.412,327.876,151.412,327.876,360.518
91,3720,107,292.751,255.9,70.0215,209.064,0,257.74,360.432,257.74,151.368,327.761,151.368,327.761,360.432
92,3760,109,292.63,256.013,70.3733,210.115,0,257.443,361.07,257.443,150.955,327.817,150.955,327.817,361.07
93,3800,113,292.198,256.42,70.0229,209.068,0,257.186,360.954,257.186,151.886,327.209,151.886,327.209,360.954
94,3840,109,292.424,256.097,70.0277,209.083,0,257.41,360.638,257.41,151.556,327.438,151.556,327.438,360.638
95,3880,109,292.079,256.114,70.2514,209.751,0,256.954,360.989,256.954,151.239,327.205,151.239,327.205,360.989
96,3920,119,291.603,256.419,70.2996,209.895,0,256.453,361.366,256.453,151.472,326.752,151.472,326.752,361.366
97,3960,121,291.883,255.931,70.2813,209.84,0,256.743,360.851,256.743,151.011,327.024,151.011,327.024,360.851
98,4000,113,292.158,255.936,70.0977,209.292,0,257.109,360.582,257.109,151.29,327.207,151.29,327.207,360.582
99,4040,120,292.393,256.04,70.1661,209.496,0,257.31,360.788,257.31,151.292,327.476,151.292,327.476,360.788
100,4080,121,292.525,255.93,70.1355,209.404,0,257.457,360.632,257.457,151.228,327.592,151.228,327.592,360.632
101,4120,113,292.714,255.806,70.2135,209.638,0,257.608,360.625,257.608,150.987,327.821,150.987,327.821,360.625
102,4160,112,292.308,255.872,70.0577,209.172,0,257.279,360.458,257.279,151.286,327.337,151.286,327.337,360.458
103,4200,110,292.547,255.68,70.1676,209.501,0,257.463,360.43,257.463,150.93,327.631,150.93,327.631,360.43
104,4240,103,292.576,255.883,70.2893,209.864,0,257.431,360.815,257.431,150.951,327.72,150.951,327.72,360.815
105,4280,106,292.23,255.87,70.3923,210.171,0,257.034,360.956,257.034,150.785,327.426,150.785,327.426,360.956
106,4320,107,292.735,255.641,70.1922,209.574,0,257.639,360.427,257.639,150.854,327.831,150.854,327.831,360.427
107,4360,108,292.446,255.363,70.2315,209.691,0,257.33,360.209,257.33,150.518,327.561,150.518,327.561,360.209
108,4400,111,292.763,255.419,70.2154,209.643,0,257.655,360.24,257.655,150.597,327.87,150.597,327.87,360.24
109,4440,109,292.884,255.527,70.1539,209.46,0,257.807,360.256,257.807,150.797,327.961,150.797,327.961,360.256
110,4480,105,292.427,255.706,70.1079,209.322,0,257.373,360.368,257.373,151.045,327.481,151.045,327.481,360.368
111,4520,107,292.54,255.576,70.0581,209.173,0,257.511,360.163,257.511,150.989,327.569,150.989,327.569,360.163
112,4560,110,292.587,255.436,70.1592,209.475,0,257.507,360.174,257.507,150.699,327.666,150.699,327.666,360.174
113,4600,107,292.422,255.835,70.2844,209.849,0,257.28,360.759,257.28,150.91,327.564,150.91,327.564,360.759
114,4640,108,292.503,255.383,70.102,209.305,0,257.452,360.035,257.452,150.731,327.554,150.731,327.554,360.035
115,4680,113,292.587,255.544,70.1129,209.337,0,257.53,360.213,257.53,150.876,327.643,150.876,327.643,360.213
116,4720,105,292.707,255.436,70.0667,209.199,0,257.674,360.036,257.674,150.836,327.74,150.836,327.74,360.036
117,4760,105,292.302,255.583,70.3067,209.916,0,257.149,360.541,257.149,150.625,327.455,150.625,327.455,360.541
118,4800,106,292.549,255.409,70.3391,210.012,0,257.379,360.415,257.379,150.402,327.718,150.402,327.718,360.415
119,4840,108,292.161,255.615,70.3268,209.976,0,256.997,360.603,256.997,150.627,327.324,150.627,327.324,360.603
120,4880,107,292.637,255.554,70.4305,210.285,0,257.422,360.697,257.422,150.411,327.853,150.411,327.853,360.697
121,4920,110,292.652,255.424,70.3802,210.135,0,257.462,360.491,257.462,150.356,327.842,150.356,327.842,360.491
122,4960,109,292.862,255.191,70.2721,209.812,0,257.726,360.098,257.726,150.285,327.998,150.285,327.998,360.098
123,5000,104,292.289,255.574,70.5236,210.563,0,257.028,360.856,257.028,150.292,327.551,150.292,327.551,360.856
124,5040,106,292.741,255.653,70.3638,210.086,0,257.559,360.696,257.559,150.609,327.923,150.609,327.923,360.696
125,5080,114,292.908,255.537,70.3875,210.157,0,257.714,360.616,257.714,150.459,328.101,150.459,328.101,360.616
126,5120,110,292.884,255.777,70.1867,209.557,0,257.791,360.556,257.791,150.999,327.978,150.999,327.978,360.556
127,5160,102,292.606,255.953,70.3703,210.106,0,257.42,361.006,257.42,150.9,327.791,150.9,327.791,361.006
128,5200,104,292.794,256.544,70.165,209.493,0,257.711,361.29,257.711,151.797,327.876,151.797,327.876,361.29
129,5240,108,292.972,255.977,70.1253,209.374,0,257.909,360.664,257.909,151.29,328.034,151.29,328.034,360.664
