Frame,Timestamp (ms),Active points,Bounding box centre X (px),Bounding box centre Y (px),Bounding box width (px),Bounding box height (px),Bounding box rotation (degrees),Bounding box vertex 1 X (px),Bounding box vertex 1 Y (px),Bounding box vertex 2 X (px),Bounding box vertex 2 Y (px),Bounding box vertex 3 X (px),Bounding box vertex 3 Y (px),Bounding box vertex 4 X (px),Bounding box vertex 4 Y (px)
0,40,64,348.5,211,59,56,0,319,239,319,183,378,183,378,239
1,120,90,346.722,209.818,59.2644,56.2509,0,317.09,237.944,317.09,181.693,376.354,181.693,376.354,237.944
2,160,89,347.722,210.431,60.2344,57.1717,0,317.605,239.016,317.605,181.845,377.84,181.845,377.84,239.016
3,200,84,344.157,208.418,60.7903,57.6993,0,313.762,237.268,313.762,179.568,374.552,179.568,374.552,237.268
4,240,80,341.921,206.881,61.3784,58.2574,0,311.232,236.01,311.232,177.752,372.61,177.752,372.61,236.01
5,280,82,340.202,206.573,61.2894,58.173,0,309.557,235.66,309.557,177.487,370.847,177.487,370.847,235.66
6,320,79,338.283,205.134,62.5183,59.3394,0,307.024,234.804,307.024,175.464,369.542,175.464,369.542,234.804
7,360,84,336.957,204.012,62.9885,59.7857,0,305.463,233.905,305.463,174.12,368.452,174.12,368.452,233.905
8,400,81,335.462,203.215,63.2962,60.0777,0,303.814,233.254,303.814,173.176,367.11,173.176,367.11,233.254
9,440,77,333.674,202.106,62.3758,59.2042,0,302.486,231.708,302.486,172.504,364.862,172.504,364.862,231.708
10,480,77,332.03,201.005,64.951,61.6484,0,299.554,231.83,299.554,170.181,364.505,170.181,364.505,231.83
11,520,74,330.56,199.65,64.602,61.3171,0,298.259,230.309,298.259,168.992,362.861,168.992,362.861,230.309
12,560,75,329.504,198.169,64.4927,61.2134,0,297.257,228.775,297.257,167.562,361.75,167.562,361.75,228.775
13,600,73,327.983,197.042,65.0367,61.7297,0,295.464,227.907,295.464,166.178,360.501,166.178,360.501,227.907
14,640,74,327.102,195.487,64.8414,61.5444,0,294.681,226.259,294.681,164.714,359.523,164.714,359.523,226.259
15,680,71,326.063,193.679,65.5256,62.1938,0,293.301,224.776,293.301,162.583,358.826,162.583,358.826,224.776
16,720,70,324.94,192.684,66.0434,62.6852,0,291.918,224.027,291.918,161.342,357.961,161.342,357.961,224.027
17,760,70,323.428,191.21,67.9373,64.4829,0,289.46,223.451,289.46,158.968,357.397,158.968,357.397,223.451
18,800,72,322.063,189.874,68.7779,65.2808,0,287.674,222.514,287.674,157.233,356.452,157.233,356.452,222.514
19,840,71,320.842,188.339,69.7495,66.2029,0,285.967,221.44,285.967,155.237,355.716,155.237,355.716,221.44
20,880,72,319.576,186.883,70.486,66.902,0,284.333,220.334,284.333,153.433,354.819,153.433,354.819,220.334
21,920,72,318.252,185.277,71.6924,68.047,0,282.406,219.301,282.406,151.254,354.098,151.254,354.098,219.301
22,960,71,316.84,183.642,72.5712,68.8812,0,280.555,218.083,280.555,149.202,353.126,149.202,353.126,218.083
23,1000,72,315.134,181.904,73.9396,70.18,0,278.165,216.994,278.165,146.814,352.104,146.814,352.104,216.994
24,1040,72,314.359,180.482,75.3331,71.5026,0,276.693,216.233,276.693,144.73,352.026,144.73,352.026,216.233
25,1080,71,313.174,178.586,75.7675,71.9149,0,275.29,214.543,275.29,142.629,351.058,142.629,351.058,214.543
26,1120,71,312.321,176.803,74.9568,71.1454,0,274.843,212.375,274.843,141.23,349.799,141.23,349.799,212.375
27,1160,70,311.346,175.224,75.8463,71.9897,0,273.422,211.219,273.422,139.229,349.269,139.229,349.269,211.219
