Frame,Timestamp (ms),Active points,Bounding box centre X (px),Bounding box centre Y (px),Bounding box width (px),Bounding box height (px),Bounding box rotation (degrees),Bounding box vertex 1 X (px),Bounding box vertex 1 Y (px),Bounding box vertex 2 X (px),Bounding box vertex 2 Y (px),Bounding box vertex 3 X (px),Bounding box vertex 3 Y (px),Bounding box vertex 4 X (px),Bounding box vertex 4 Y (px)
0,40,140,135,124.5,56,157,0,107,203,107,46,163,46,163,203
1,120,180,135.69,124.466,56.0177,157.05,0,107.681,202.991,107.681,45.9416,163.698,45.9416,163.698,202.991
2,160,180,136.154,124.546,56,157,0,108.154,203.046,108.154,46.0464,164.154,46.0464,164.154,203.046
3,200,184,136.517,124.217,56.0135,157.038,0,108.51,202.736,108.51,45.6981,164.524,45.6982,164.524,202.736
4,240,195,136.795,124.202,56,157,0,108.795,202.702,108.795,45.7017,164.795,45.7017,164.795,202.702
5,280,181,136.938,124.017,56.1035,157.29,0,108.886,202.662,108.886,45.3719,164.99,45.3719,164.99,202.662
6,320,173,136.764,123.843,56.2022,157.567,0,108.663,202.627,108.663,45.0599,164.865,45.0599,164.865,202.627
7,360,173,136.82,123.928,56.2434,157.682,0,108.698,202.769,108.698,45.0871,164.942,45.0871,164.942,202.769
8,400,177,136.596,123.736,56.2715,157.761,0,108.461,202.616,108.461,44.8552,164.732,44.8552,164.732,202.616
9,440,172,136.44,123.625,56.2983,157.836,0,108.291,202.543,108.291,44.7067,164.589,44.7067,164.589,202.543
10,480,167,136.132,123.895,56.3594,158.007,0,107.952,202.899,107.952,44.8917,164.311,44.8917,164.311,202.899
11,520,177,136.05,123.969,56.4642,158.302,0,107.818,203.119,107.818,44.8178,164.282,44.8178,164.282,203.119
12,560,175,135.816,124.177,56.5114,158.434,0,107.56,203.393,107.56,44.9597,164.071,44.9597,164.071,203.393
13,600,167,135.845,124.193,56.6025,158.689,0,107.543,203.538,107.543,44.8486,164.146,44.8486,164.146,203.538
14,640,164,136.339,123.935,56.6411,158.797,0,108.018,203.334,108.018,44.5368,164.659,44.5368,164.659,203.334
15,680,173,136.813,123.656,56.6646,158.863,0,108.48,203.088,108.48,44.2245,165.145,44.2245,165.145,203.088
16,720,174,137.559,123.396,56.6523,158.829,0,109.233,202.81,109.233,43.9815,165.885,43.9815,165.885,202.81
17,760,172,138.657,123.24,56.5375,158.507,0,110.388,202.494,110.388,43.9868,166.925,43.9868,166.925,202.494
