Frame,Timestamp (ms),Active points,Bounding box centre X (px),Bounding box centre Y (px),Bounding box width (px),Bounding box height (px),Bounding box rotation (degrees),Bounding box vertex 1 X (px),Bounding box vertex 1 Y (px),Bounding box vertex 2 X (px),Bounding box vertex 2 Y (px),Bounding box vertex 3 X (px),Bounding box vertex 3 Y (px),Bounding box vertex 4 X (px),Bounding box vertex 4 Y (px)
0,40,283,165,125.5,54,163,0,138,207,138,44,192,44,192,207
1,120,316,165.677,124.951,54.018,163.054,0,138.668,206.478,138.668,43.4234,192.686,43.4234,192.686,206.478
2,160,316,165.863,125.095,54,163,0,138.863,206.595,138.863,43.5948,192.863,43.5948,192.863,206.595
3,200,325,167.898,124.577,54.0443,163.134,0,140.875,206.144,140.875,43.0098,194.92,43.0098,194.92,206.144
4,240,319,168.879,124.592,54.0506,163.153,0,141.854,206.169,141.854,43.0162,195.904,43.0161,195.904,206.169
5,280,326,169.663,124.384,54.0732,163.221,0,142.626,205.994,142.626,42.7734,196.699,42.7734,196.699,205.994
6,320,322,170.122,124.643,54.0037,163.011,0,143.121,206.148,143.121,43.1371,197.124,43.1371,197.124,206.148
7,360,318,170.518,124.768,54.0053,163.016,0,143.515,206.276,143.515,43.2604,197.521,43.2604,197.521,206.276
8,400,330,170.73,124.759,53.9857,162.957,0,143.737,206.237,143.737,43.2803,197.723,43.2803,197.723,206.237
9,440,328,170.94,124.942,53.9969,162.991,0,143.942,206.437,143.942,43.4468,197.939,43.4468,197.939,206.437
10,480,332,171.139,125.229,53.9907,162.972,0,144.144,206.715,144.144,43.7433,198.135,43.7433,198.135,206.715
11,520,327,171.349,125.137,53.9739,162.921,0,144.362,206.598,144.362,43.6763,198.336,43.6763,198.336,206.598
12,560,337,171.414,125.136,53.9723,162.916,0,144.428,206.594,144.428,43.6774,198.4,43.6774,198.4,206.594
13,600,330,171.471,124.955,53.9929,162.978,0,144.474,206.444,144.474,43.466,198.467,43.466,198.467,206.444
14,640,328,171.539,125.082,53.9971,162.991,0,144.54,206.578,144.54,43.5869,198.537,43.5869,198.537,206.578
15,680,329,171.52,125.162,54.01,163.03,0,144.515,206.677,144.515,43.6471,198.525,43.6471,198.525,206.677
16,720,326,171.561,125.316,54.0235,163.071,0,144.549,206.852,144.549,43.781,198.572,43.7811,198.572,206.852
17,760,331,171.561,125.273,54.0344,163.104,0,144.544,206.825,144.544,43.7209,198.578,43.7209,198.578,206.825
18,800,327,171.422,125.279,54.024,163.072,0,144.41,206.815,144.41,43.743,198.434,43.743,198.434,206.815
19,840,322,171.373,125.491,54.0084,163.025,0,144.369,207.004,144.369,43.9788,198.378,43.9788,198.378,207.004
20,880,325,171.373,125.551,54.01,163.03,0,144.368,207.066,144.368,44.0361,198.378,44.0361,198.378,207.066
21,920,327,171.405,125.813,54.0023,163.007,0,144.404,207.317,144.404,44.31,198.406,44.31,198.406,207.317
22,960,325,171.339,125.959,53.9714,162.914,0,144.354,207.416,144.354,44.5024,198.325,44.5024,198.325,207.416
23,1000,325,171.435,125.967,54.0019,163.006,0,144.434,207.47,144.434,44.4644,198.436,44.4644,198.436,207.47
24,1040,320,171.255,126.082,53.9988,162.996,0,144.255,207.58,144.255,44.584,198.254,44.584,198.254,207.58
25,1080,312,171.098,126.052,53.984,162.952,0,144.106,207.528,144.106,44.576,198.09,44.576,198.09,207.528
26,1120,316,170.919,126.059,53.9961,162.988,0,143.921,207.553,143.921,44.5647,197.917,44.5647,197.917,207.553
27,1160,328,170.751,125.892,53.9893,162.968,0,143.756,207.376,143.756,44.4084,197.746,44.4084,197.746,207.376
28,1200,329,170.774,125.685,54.0072,163.022,0,143.771,207.196,143.771,44.1743,197.778,44.1743,197.778,207.196
29,1240,325,170.511,125.683,54.0068,163.02,0,143.507,207.194,143.507,44.1731,197.514,44.1731,197.514,207.194
30,1280,319,170.48,125.666,53.9994,162.998,0,143.48,207.165,143.48,44.1671,197.479,44.1671,197.479,207.165
31,1320,321,170.309,125.826,54.0101,163.03,0,143.304,207.341,143.304,44.3105,197.314,44.3105,197.314,207.341
32,1360,324,170.383,125.96,54.0121,163.036,0,143.377,207.478,143.377,44.4415,197.389,44.4415,197.389,207.478
33,1400,325,170.247,126.215,54.0131,163.04,0,143.241,207.735,143.241,44.6953,197.254,44.6953,197.254,207.735
34,1440,331,170.12,126.503,54.0012,163.004,0,143.12,208.005,143.12,45.0013,197.121,45.0013,197.121,208.005
35,1480,318,169.973,126.574,53.9978,162.993,0,142.974,208.071,142.974,45.0773,196.972,45.0773,196.972,208.071
36,1520,321,169.99,126.649,54.0068,163.021,0,142.986,208.16,142.986,45.1391,196.993,45.1391,196.993,208.16
