Frame,Timestamp (ms),Active points,Bounding box centre X (px),Bounding box centre Y (px),Bounding box width (px),Bounding box height (px),Bounding box rotation (degrees),Bounding box vertex 1 X (px),Bounding box vertex 1 Y (px),Bounding box vertex 2 X (px),Bounding box vertex 2 Y (px),Bounding box vertex 3 X (px),Bounding box vertex 3 Y (px),Bounding box vertex 4 X (px),Bounding box vertex 4 Y (px)
0,40,190,100,200,70,270,0,65,335,65,65,135,65,135,335
1,120,274,102.692,199.661,69.7824,269.161,0,67.801,334.242,67.801,65.0811,137.583,65.0811,137.583,334.242
2,160,274,103.144,199.983,69.9669,269.872,0,68.1602,334.919,68.1602,65.0472,138.127,65.0472,138.127,334.919
3,200,285,108.747,199.335,69.4046,267.703,0,74.0449,333.187,74.0449,65.4831,143.449,65.4832,143.449,333.187
4,240,276,111.466,198.995,68.8122,265.419,0,77.0598,331.704,77.0598,66.2858,145.872,66.2858,145.872,331.704
5,280,279,114.372,198.928,68.2634,263.302,0,80.2399,330.578,80.2399,67.2768,148.503,67.2769,148.503,330.578
6,320,279,117.072,198.84,68.0695,262.554,0,83.0375,330.117,83.0375,67.5633,151.107,67.5633,151.107,330.117
7,360,295,120.145,198.617,67.5142,260.412,0,86.3881,328.823,86.3881,68.411,153.902,68.411,153.902,328.823
8,400,268,123.008,198.697,67.3288,259.697,0,89.3437,328.546,89.3437,68.8487,156.673,68.8487,156.673,328.546
9,440,265,125.969,198.665,66.8691,257.924,0,92.5342,327.627,92.5342,69.703,159.403,69.703,159.403,327.627
10,480,277,128.789,198.764,66.6538,257.093,0,95.462,327.311,95.462,70.2175,162.116,70.2175,162.116,327.311
11,520,280,131.787,198.634,66.386,256.06,0,98.5937,326.664,98.5937,70.604,164.98,70.6039,164.98,326.664
12,560,272,134.755,198.731,66.2345,255.476,0,101.638,326.469,101.638,70.9934,167.873,70.9934,167.873,326.469
13,600,277,137.741,198.643,65.8205,253.879,0,104.831,325.582,104.831,71.7034,170.652,71.7034,170.652,325.582
14,640,271,140.644,198.643,65.593,253.002,0,107.847,325.144,107.847,72.1422,173.44,72.1422,173.44,325.144
15,680,275,143.439,198.629,65.4202,252.335,0,110.728,324.796,110.728,72.4615,176.149,72.4615,176.149,324.796
16,720,266,146.134,198.849,65.1957,251.469,0,113.536,324.584,113.536,73.1145,178.732,73.1145,178.732,324.584
17,760,254,148.868,198.841,64.7172,249.623,0,116.51,323.653,116.51,74.0291,181.227,74.0291,181.227,323.653
18,800,277,151.654,199.027,64.3501,248.207,0,119.479,323.131,119.479,74.9232,183.829,74.9232,183.829,323.131
19,840,265,154.333,199.212,64.0582,247.082,0,122.304,322.753,122.304,75.6709,186.362,75.6709,186.362,322.753
20,880,260,157.2,199.387,63.8116,246.131,0,125.294,322.453,125.294,76.3221,189.105,76.3221,189.105,322.453
21,920,263,159.81,199.359,63.5061,244.952,0,128.057,321.835,128.057,76.8831,191.563,76.8831,191.563,321.835
22,960,255,162.435,199.427,63.4432,244.709,0,130.714,321.781,130.714,77.0719,194.157,77.0719,194.157,321.781
23,1000,259,165.207,199.569,63.0258,243.1,0,133.694,321.118,133.694,78.0189,196.72,78.0189,196.72,321.118
24,1040,258,167.892,199.133,62.8753,242.519,0,136.455,320.393,136.455,77.8739,199.33,77.8739,199.33,320.393
25,1080,257,170.207,199.174,62.6884,241.798,0,138.863,320.073,138.863,78.2747,201.551,78.2747,201.551,320.073
