Frame,Timestamp (ms),Active points,Bounding box centre X (px),Bounding box centre Y (px),Bounding box width (px),Bounding box height (px),Bounding box rotation (degrees),Bounding box vertex 1 X (px),Bounding box vertex 1 Y (px),Bounding box vertex 2 X (px),Bounding box vertex 2 Y (px),Bounding box vertex 3 X (px),Bounding box vertex 3 Y (px),Bounding box vertex 4 X (px),Bounding box vertex 4 Y (px)
0,40,209,146.5,82.5,55,47,0,119,106,119,59,174,59,174,106
1,120,236,146.622,82.847,55.0676,47.0578,0,119.089,106.376,119.089,59.3181,174.156,59.3181,174.156,106.376
2,160,236,146.815,82.9731,55.0818,47.0699,0,119.274,106.508,119.274,59.4381,174.356,59.4381,174.356,106.508
3,200,246,147.077,84.4315,55.2898,47.2476,0,119.432,108.055,119.432,60.8077,174.722,60.8077,174.722,108.055
4,240,249,146.982,85.4804,55.3284,47.2807,0,119.318,109.121,119.318,61.84,174.647,61.84,174.647,109.121
5,280,241,146.764,86.6445,55.2396,47.2048,0,119.144,110.247,119.144,63.0421,174.383,63.0421,174.383,110.247
6,320,251,146.59,87.671,55.3416,47.2919,0,118.919,111.317,118.919,64.0251,174.26,64.0251,174.26,111.317
7,360,243,146.5,88.261,55.2992,47.2557,0,118.85,111.889,118.85,64.6331,174.149,64.6331,174.149,111.889
8,400,253,146.362,88.842,55.1093,47.0934,0,118.808,112.389,118.808,65.2953,173.917,65.2953,173.917,112.389
9,440,248,146.212,89.3484,54.895,46.9103,0,118.765,112.804,118.765,65.8932,173.66,65.8932,173.66,112.804
10,480,253,146.094,89.7604,54.8908,46.9066,0,118.649,113.214,118.649,66.307,173.54,66.307,173.54,113.214
11,520,248,145.835,90.0892,54.8236,46.8493,0,118.423,113.514,118.423,66.6646,173.247,66.6646,173.247,113.514
12,560,240,145.474,90.3048,54.7871,46.818,0,118.08,113.714,118.08,66.8958,172.867,66.8958,172.867,113.714
13,600,240,145.4,90.4264,54.6702,46.7182,0,118.065,113.786,118.065,67.0673,172.735,67.0673,172.735,113.786
14,640,237,145.411,90.7198,54.7131,46.7549,0,118.055,114.097,118.055,67.3424,172.768,67.3424,172.768,114.097
15,680,243,145.419,90.8754,54.682,46.7283,0,118.078,114.24,118.078,67.5112,172.76,67.5112,172.76,114.24
16,720,243,145.246,91.1742,54.6276,46.6817,0,117.932,114.515,117.932,67.8333,172.559,67.8333,172.559,114.515
17,760,237,144.897,91.5332,54.3334,46.4304,0,117.73,114.748,117.73,68.3181,172.064,68.3181,172.064,114.748
18,800,235,144.698,91.8537,54.4671,46.5447,0,117.465,115.126,117.465,68.5814,171.932,68.5814,171.932,115.126
19,840,234,144.431,92.2471,54.3397,46.4357,0,117.261,115.465,117.261,69.0292,171.6,69.0292,171.6,115.465
20,880,242,144.27,92.4345,54.2288,46.341,0,117.155,115.605,117.155,69.264,171.384,69.264,171.384,115.605
21,920,235,144.036,92.459,54.2333,46.3448,0,116.92,115.631,116.92,69.2866,171.153,69.2866,171.153,115.631
22,960,235,143.882,92.7861,54.0831,46.2164,0,116.841,115.894,116.841,69.6779,170.924,69.6779,170.924,115.894
23,1000,229,143.773,93.0708,54.1792,46.2986,0,116.684,116.22,116.684,69.9215,170.863,69.9215,170.863,116.22
24,1040,228,143.599,93.2944,54.0809,46.2146,0,116.559,116.402,116.559,70.1871,170.64,70.1871,170.64,116.402
25,1080,229,143.349,93.5861,53.9817,46.1298,0,116.359,116.651,116.359,70.5212,170.34,70.5212,170.34,116.651
26,1120,226,143.137,93.6754,53.8578,46.0239,0,116.208,116.687,116.208,70.6635,170.066,70.6635,170.066,116.687
27,1160,226,142.775,93.7087,53.8531,46.02,0,115.848,116.719,115.848,70.6987,169.701,70.6987,169.701,116.719
28,1200,228,142.65,93.6981,53.8239,45.995,0,115.738,116.696,115.738,70.7007,169.562,70.7007,169.562,116.696
29,1240,229,142.294,93.5264,53.5956,45.7998,0,115.496,116.426,115.496,70.6265,169.092,70.6265,169.092,116.426
30,1280,230,141.722,93.227,53.6645,45.8588,0,114.89,116.156,114.89,70.2976,168.555,70.2976,168.555,116.156
31,1320,227,140.514,92.8446,53.7754,45.9535,0,113.627,115.821,113.627,69.8679,167.402,69.8679,167.402,115.821
32,1360,233,138.793,92.2248,53.6336,45.8323,0,111.976,115.141,111.976,69.3086,165.61,69.3086,165.61,115.141
33,1400,233,136.861,91.581,53.4074,45.639,0,110.158,114.401,110.158,68.7615,163.565,68.7615,163.565,114.401
34,1440,226,134.734,90.8552,53.1205,45.3939,0,108.174,113.552,108.174,68.1583,161.295,68.1583,161.295,113.552
