Frame,Timestamp (ms),Active points,Bounding box centre X (px),Bounding box centre Y (px),Bounding box width (px),Bounding box height (px),Bounding box rotation (degrees),Bounding box vertex 1 X (px),Bounding box vertex 1 Y (px),Bounding box vertex 2 X (px),Bounding box vertex 2 Y (px),Bounding box vertex 3 X (px),Bounding box vertex 3 Y (px),Bounding box vertex 4 X (px),Bounding box vertex 4 Y (px)
0,40,52,391,334.5,72,257,0,355,463,355,206,427,206,427,463
1,120,71,390.668,334.937,72.6826,259.437,0,354.327,464.656,354.327,205.219,427.009,205.219,427.009,464.656
2,160,71,390.793,333.602,72.0001,257,0,354.793,462.102,354.793,205.102,426.793,205.102,426.793,462.102
3,200,68,389.413,342.608,75.8603,270.779,0,351.482,477.998,351.482,207.219,427.343,207.219,427.343,477.998
4,240,67,388.642,346.078,77.3867,276.227,0,349.949,484.192,349.949,207.965,427.335,207.965,427.335,484.192
5,280,68,388.176,340.888,75.0259,267.801,0,350.663,474.788,350.663,206.988,425.689,206.988,425.689,474.788
6,320,67,387.567,332.26,71.081,253.72,0,352.027,459.12,352.027,205.4,423.108,205.4,423.108,459.12
7,360,70,386.898,328.525,70.4711,251.543,0,351.662,454.296,351.662,202.753,422.134,202.753,422.134,454.296
8,400,66,386.888,331.23,73.9645,264.012,0,349.906,463.236,349.906,199.224,423.87,199.224,423.87,463.236
9,440,66,387.168,330.904,73.9864,264.09,0,350.175,462.949,350.175,198.859,424.161,198.859,424.161,462.949
10,480,64,387.596,335.854,76.8706,274.385,0,349.161,473.046,349.161,198.661,426.031,198.661,426.031,473.046
11,520,65,388.275,341.313,80.2317,286.383,0,348.159,484.504,348.159,198.121,428.391,198.121,428.391,484.504
12,560,68,390.098,338.873,80.537,287.472,0,349.829,482.609,349.829,195.136,430.367,195.136,430.367,482.609
13,600,67,392.569,339.378,84.274,300.811,0,350.432,489.784,350.432,188.973,434.706,188.973,434.706,489.784
14,640,69,393.884,337.206,86.5771,309.032,0,350.596,491.722,350.596,182.69,437.173,182.69,437.173,491.722
15,680,66,394.125,336.03,88.9205,317.397,0,349.665,494.729,349.665,177.332,438.585,177.332,438.585,494.729
16,720,66,394.031,331.314,87.5122,312.37,0,350.275,487.499,350.275,175.129,437.787,175.129,437.787,487.499
17,760,60,393.953,332.494,88.8317,317.08,0,349.537,491.034,349.537,173.954,438.369,173.954,438.369,491.034
18,800,63,393.908,337.278,91.3558,326.09,0,348.23,500.323,348.23,174.234,439.586,174.234,439.586,500.323
19,840,63,393.816,339.702,92.6423,330.681,0,347.495,505.043,347.495,174.362,440.137,174.362,440.137,505.043
20,880,62,392.91,337.398,92.1408,328.891,0,346.839,501.844,346.839,172.953,438.98,172.953,438.98,501.844
21,920,62,392.249,331.979,90.3043,322.336,0,347.097,493.147,347.097,170.811,437.401,170.811,437.401,493.147
22,960,61,391.74,330.102,90.6073,323.418,0,346.437,491.81,346.437,168.393,437.044,168.393,437.044,491.81
23,1000,60,391.074,329.296,91.0509,325.001,0,345.549,491.797,345.549,166.796,436.6,166.796,436.6,491.797
24,1040,60,390.182,333.382,93.8341,334.936,0,343.264,500.85,343.264,165.914,437.099,165.914,437.099,500.85
25,1080,62,389.213,339.165,96.3967,344.083,0,341.015,511.206,341.015,167.124,437.412,167.124,437.412,511.206
26,1120,61,388.753,345.004,98.7021,352.312,0,339.402,521.16,339.402,168.848,438.104,168.848,438.104,521.16
27,1160,61,388.373,347.443,100.879,360.082,0,337.934,527.484,337.934,167.402,438.812,167.402,438.812,527.484
28,1200,62,388.646,344.626,101.263,361.451,0,338.014,525.352,338.014,163.901,439.277,163.901,439.277,525.352
29,1240,62,390.146,339.689,99.9755,356.857,0,340.158,518.118,340.158,161.261,440.133,161.261,440.133,518.118
30,1280,60,390.711,339.68,102.045,364.243,0,339.689,521.801,339.689,157.558,441.733,157.558,441.733,521.801
