Frame,Timestamp (ms),Active points,Bounding box centre X (px),Bounding box centre Y (px),Bounding box width (px),Bounding box height (px),Bounding box rotation (degrees),Bounding box vertex 1 X (px),Bounding box vertex 1 Y (px),Bounding box vertex 2 X (px),Bounding box vertex 2 Y (px),Bounding box vertex 3 X (px),Bounding box vertex 3 Y (px),Bounding box vertex 4 X (px),Bounding box vertex 4 Y (px)
0,40,38,414,441.5,56,157,0,386,520,386,363,442,363,442,520
1,120,70,415.353,442.348,55.9593,156.886,0,387.374,520.791,387.374,363.905,443.333,363.905,443.333,520.791
2,160,70,415.778,442.185,56.4998,158.401,0,387.528,521.385,387.528,362.984,444.027,362.984,444.027,521.385
3,200,59,415.696,441.873,56.5967,158.673,0,387.398,521.21,387.398,362.537,443.995,362.537,443.995,521.21
4,240,61,416.124,442.603,56.4963,158.392,0,387.876,521.799,387.876,363.407,444.372,363.407,444.372,521.799
5,280,65,416.62,442.254,55.8091,156.465,0,388.716,520.486,388.716,364.021,444.525,364.021,444.525,520.486
6,320,65,416.576,441.289,55.8795,156.662,0,388.636,519.62,388.636,362.958,444.516,362.958,444.516,519.62
7,360,66,417.041,441.693,55.8532,156.589,0,389.114,519.987,389.114,363.399,444.967,363.399,444.967,519.987
8,400,67,416.77,441.397,55.3632,155.215,0,389.088,519.004,389.088,363.789,444.451,363.789,444.451,519.004
9,440,55,416.55,440.863,55.5575,155.759,0,388.772,518.742,388.772,362.983,444.329,362.983,444.329,518.742
10,480,63,416.608,440.687,55.7643,156.339,0,388.725,518.856,388.725,362.517,444.49,362.517,444.49,518.856
11,520,66,417.495,441.113,56.134,157.376,0,389.428,519.801,389.428,362.425,445.562,362.425,445.562,519.801
12,560,61,417.461,440.151,56.2621,157.735,0,389.33,519.018,389.33,361.283,445.592,361.283,445.592,519.018
13,600,62,418.586,439.591,56.2536,157.711,0,390.46,518.446,390.46,360.735,446.713,360.735,446.713,518.446
14,640,59,418.343,440.085,56.7365,159.065,0,389.975,519.618,389.975,360.553,446.711,360.553,446.711,519.618
15,680,59,418.345,439.51,56.7213,159.022,0,389.984,519.021,389.984,359.999,446.705,359.999,446.705,519.021
16,720,63,418.978,440.475,56.7304,159.048,0,390.613,519.999,390.613,360.952,447.343,360.952,447.343,519.999
17,760,62,418.451,440.806,56.902,159.529,0,390,520.571,390,361.042,446.902,361.042,446.902,520.571
18,800,59,419.171,440.887,56.7317,159.051,0,390.805,520.413,390.805,361.361,447.537,361.361,447.537,520.413
19,840,64,419.406,440.574,56.7516,159.107,0,391.031,520.128,391.031,361.021,447.782,361.021,447.782,520.128
20,880,65,419.068,440.893,56.9765,159.738,0,390.58,520.762,390.58,361.024,447.556,361.024,447.556,520.762
